hpo_id,Original Concept,Traducción generada,Traducción HPO Spain,Mejor,Igual,Peor,Comentarios Raúl,Comentarios H12O
HP:0009775,Amniotic constriction ring,anillo de constricción amniótica,Anillo de constricción amniótico,,X,X,Discordancia de género,
HP:0025712,Spontaneous chorioamniotic separation,Separación corioamniótica espontánea,Separación corioamniótica espontánea,,X,,,
HP:0030763,Amniotic Sheet,lámina amniótica,"Sinequias uterinas tipo ""hojas amnióticas""",,,X,<-> Dificil sin datos entrenamiento,
HP:0033552,Chronic villitis,Vilitis crónica,Villitis crónica,,X,,,
HP:0011415,Calcified placenta,Placenta calcificada,Placenta calcificada,,X,,,
HP:0011416,Placental infarction,infarto placentario,Infarto placentario,,X,,,
HP:0011419,Placental abruption,desprendimiento placentario,Desprendimiento de placenta,,,X,https://dptm.es/dptm/?term=1589640,
HP:0012767,Abnormal placental size,tamaño placentario anormal,Tamaño anormal de la placenta,,X,X,,
HP:0025652,Abnormal placental adhesion into the uterine wall,adhesión placentaria anormal a la pared uterina,Adherencias anormales de la placenta a la pared uterina,,X,X,,
HP:0025719,Maternal vascular malperfusion,Malperfusión vascular materna,Mala perfusión vascular materna,X,X,,,
HP:0025729,Fetal vascular malperfusion,Malperfusión vascular fetal,Malperfusión vascular fetal,,X,,,
HP:0030714,Subchorionic thrombohematoma,Trombohematoma subcoriónico,Trombohematoma subcoriónico,,X,,,
HP:0030720,Subchorionic septal cyst,Quiste septal subcoriónico,Quiste septal subcoriónico,,X,,,
HP:0032165,Placental mesenchymal dysplasia,Displasia mesenquimal placentaria,Displasia mesenquimatosa placentaria,,X,,,
HP:0033042,Abnormal chorion morphology,corionopatía anómala,Morfología anormal del corion,,X,X,?? Corionopatia,
HP:0100768,Choriocarcinoma,Coriocarcinoma,Coriocarcinoma,,X,,,
HP:0100883,Chorangioma,Corangioma,Corangioma,,X,,,
HP:0034900,Decreased amniotic fluid alpha-fetoprotein concentration,Disminución de la concentración de alfa-fetoproteína en el líquido amniótico,Disminución de la concentración de alfafetoproteína en líquido amniótico,,X,,,
HP:0010859,Frank breech presentation,presentación de Frank Breech,Presentación de nalgas completa,X,X,,,
HP:0010860,Complete breech presentation,Presentación podálica completa,Presentación completa de nalgas,,X,X,https://dptm.es/dptm/?term=1793210,
HP:0010861,Incomplete breech presentation,Presentación podálica incompleta,Presentación de nalgas incompleta,,X,X,https://dptm.es/dptm/?term=1793210,
HP:0030363,Primary Caesarian section,cesárea primaria,Primera cesárea,X,X,,,
HP:0030364,Secondary Caesarian section,cesárea secundaria,Cesárea secuendaria,,X,,,
HP:0030927,1-minute APGAR score of 0,Puntaje APGAR a 1 minuto de 0,Puntuación APGAR de 0 al minuto,,,X,Puntaje,
HP:0030928,1-minute APGAR score of 1,Puntaje APGAR de 1 minuto,Puntuación APGAR de 1 al minuto,,,X,,
HP:0030929,1-minute APGAR score of 2,Puntaje APGAR de 1 minuto de,Puntuación APGAR de 2 al minuto,,,X,,
HP:0030930,1-minute APGAR score of 3,Puntaje APGAR de 1 minuto de,Puntuación APGAR de 3 al minuto,,,X,,
HP:0030931,1-minute APGAR score of 4,Puntaje APGAR de 4 minutos,Puntuación APGAR de 4 al minuto,,,X,,
HP:0030932,1-minute APGAR score of 5,Puntaje APGAR de 5 minutos,Puntuación APGAR de 5 al minuto,,,X,,
HP:0030933,1-minute APGAR score of 6,Puntaje APGAR de 1 minuto de 6,Puntuación APGAR de 6 al minuto,,,X,,
HP:0030920,5-minute APGAR score of 0,Puntaje APGAR a 5 minutos de 0,Puntuación APGAR de 0 a los 5 minutos,,,X,,
HP:0030921,5-minute APGAR score of 1,Puntaje APGAR de 5 minutos de 1,Puntuación APGAR de 1 a los 5 minutos,,,X,,
HP:0030922,5-minute APGAR score of 2,Puntaje APGAR a 5 minutos de 2,Puntuación APGAR de 2 a los 5 minutos,,,X,,
HP:0030923,5-minute APGAR score of 3,Puntaje APGAR a 5 minutos de 3,Puntuación APGAR de 3 a los 5 minutos,,,X,,
HP:0030924,5-minute APGAR score of 4,Puntaje APGAR a 5 minutos de 4,Puntuación APGAR de 4 a los 5 minutos,,,X,,
HP:0030925,5-minute APGAR score of 5,Puntaje APGAR de 5 minutos,Puntuación APGAR de 5 a los 5 minutos,,,X,,
HP:0030926,5-minute APGAR score of 6,Puntaje APGAR a 5 minutos de 6,Puntuación APGAR de 6 a los 5 minutos,,,X,,
HP:0033468,10-minute APGAR score of 0,Puntaje APGAR a 10 minutos de 0,APGAR 0 a los 10 minutos,,-,,,
HP:0033469,10-minute APGAR score of 1,Puntaje APGAR de 10 minutos de 1,APGAR 1 a los 10 minutos,,-,,,
HP:0033470,10-minute APGAR score of 2,puntaje APGAR de 10 minutos de 2,APGAR 2 a los 10 minutos,,-,,,
HP:0033471,10-minute APGAR score of 3,puntaje APGAR de 10 minutos de 3,APGAR 3 a los 10 minutos,,-,,,
HP:0033472,10-minute APGAR score of 4,puntaje APGAR de 10 minutos de 4,APGAR 4 a los 10 minutos,,-,,,
HP:0033473,10-minute APGAR score of 5,puntaje APGAR de 10 minutos de 5,APGAR 5 a los 10 minutos,,-,,,
HP:0033474,10-minute APGAR score of 6,Puntaje APGAR de 10 minutos de 6,APGAR 6 a los 10 minutos,,-,,,
HP:0033336,Zygotic cleavage failure,Insuficiencia del escote cigomático,Fallo de la división cigótica,,,X,<-> Dificil sin datos entrenamiento,
HP:0033712,Repeated implantation failure,Fallo repetido en la implantación,Fallo de implantación reiterado,,X,,,
HP:4000008,Formation of multiple pronuclei during fertilization,Formación de múltiples pronucleos durante la fecundación,Formación de múltiples pronúcleos durante la fecundación,,X,,,
HP:0001789,Hydrops fetalis,Hidropesía fetal,Hidropesía fetal,,X,,,
HP:0010948,Abnormal fetal cardiovascular morphology,morfología cardiovascular fetal anormal,Anomalía del sistema cardiovascular fetal,X,X,,,
HP:0011425,Fetal ultrasound soft marker,Ultrasonido fetal marcador blando,Marcador menor en la ecografía fetal,,,X,Ordenado mal. Marcador blando,
HP:0025662,Abnormal fetal skeletal morphology,morfología esquelética fetal anormal,Morfología esquelética fetal anormal,,X,,,
HP:0025667,Fetal neck anomaly,Anomalía del cuello fetal,Anomalía del cuello fetal,,X,,,
HP:0025723,Abnormal fetal skin morphology,morfología anormal de la piel fetal,Morfología anormal de la piel fetal,,X,,,
HP:0034206,Abnormal fetal central nervous system morphology,anomalía morfológica del sistema nervioso central fetal,Morfología anormal del sistema nervioso central fetal,X,-,,anomalia morfologica o morfología anormal,
HP:0034207,Abnormal fetal gastrointestinal system morphology,anomalía morfológica del sistema gastrointestinal fetal,Morfología anormal del sistema gastrointestinal fetal,X,-,,,
HP:0034242,Abnormal fetal genitourinary system morphology,anomalía morfológica del sistema genitourinario fetal,Morfología anormal del sistema genitourinario fetal,X,-,,,
HP:0034243,Abnormal fetal pulmonary morphology,morfología pulmonar fetal anormal,Morfología pulmonar fetal anormal,,X,,,
HP:0034245,Fetal head anomaly,Anomalía de la cabeza fetal,Anomalía de la cabeza fetal,,X,,,
HP:0034248,Increased fetal lens echogenicity,Aumento de la ecogenicidad del cristalino fetal,Aumento de la ecogenicidad del cristalino fetal,,X,,,
HP:0001557,Prenatal movement abnormality,Anomalía del movimiento prenatal,Movimientos prenatales anormales,,,X,Ordenado mal,
HP:0025116,Fetal distress,Distrés fetal,Sufrimiento fetal,,,X,https://dptm.es/dptm/?term=1598185,No preferido
HP:0025675,Premature closure of the ductus arteriosus,Cierre prematuro del ductus arterioso,Cierre prematuro del conducto arterioso,X,,X,https://dptm.es/dptm/?term=1601867,No preferido
HP:0025716,Fetal anemia,Anemia fetal,Anemia fetal,,X,,,
HP:0030753,Intrauterine fetal demise of one twin after midgestation,Muerte fetal intrauterina de un gemelo después de la midgestación,Muerte fetal intrauterina de un gemelo después de la gestación,,-,X,??? midgestacion ,
HP:0031110,Twin-to-twin transfusion,transfusión gemelo-gemelo,Transfusión de gemelo a gemelo,,?,,,
HP:0034190,Abnormal fetal cardiovascular physiology,alteración de la fisiología cardiovascular fetal,Fisiología cardiovascular fetal anormal,,-,,,
HP:0001195,Single umbilical artery,Arteria umbilical única,Arteria umbilical única,,X,,,
HP:0032513,Four-vessel umbilical cord,Cuerda umbilical de cuatro vasos,Cordón umbilical de cuatro vasos,,,X,Cuerda -> cordón,
HP:0030658,Marginal umbilical cord insertion,Inserción marginal del cordón umbilical,Inserción marginal del cordón umbilical,,X,,,
HP:0030659,Velamentous cord insertion,Inserción de cordón velocible,Inserción filamentosa del cordón umbilical,,,X,Velocible ?,Falta filamentosa
HP:0030660,Furcate cord insertion,Inserción de cordón en el peludo,Inserción bifurcada del cordón umbilical,,,X,peludo ? ,Falta bufurcada
HP:0033991,Vasa previa,Vasa previa,Vasa previa,,X,,,
HP:0010949,Abnormality of umbilical vein blood flow,anomalía del flujo sanguíneo de la vena umbilical,Anomalía del flujo sanguíneo de la vena umbilical,,X,,,
HP:0025715,Abnormal umbilical artery doppler waveform during pregnancy,Arteria umbilical anormal forma de onda Doppler durante el embarazo,Forma de onda doppler anormal de la arteria umbilical durante el embarazo,,,X,Orden mal,
HP:0025689,Extra-abdominal umbilical vein varix,Váric umbilical extra-abdominal,Várice de vena umbilical extraabdominal,,-,,,
HP:0025690,Fetal intra-abdominal umbilical vein varix,Váric de la vena umbilical intraabdominal fetal,Várice de la vena umbilical intraabdominal fetal,,-,,,
HP:0410211,Abnormal blood gas level in cord blood,gasometría arterial anormal en la sangre del cordón umbilical,Nivel anormal de gas en sangre del cordón umbilical,,-,,,
HP:0010483,Amniotic constriction rings of arms,Anillos de constricción amniótica de brazos,Bandas amnióticas en los brazos,X,X,,,
HP:0010491,Digital constriction ring,anillo de constricción digital,Anillo de constricción en dígitos fetales,X,X,,,
HP:0010495,Amniotic constriction rings of legs,Anillos de constricción amniótica de piernas,Bandas amnióticas en las piernas,X,X,,,
HP:0006266,Small placenta,Placenta pequeña,Placenta pequeña,,X,,,
HP:0006267,Large placenta,Placenta grande,Placenta grande,,X,,,
HP:0032548,Increased placental thickness,aumento del grosor placentario,Aumento del grosor de la placenta,,X,,,
HP:0025653,Placenta percreta,Placenta percreta,Placenta percreta,,X,,,
HP:0025654,Placenta accreta,Placenta acreta,Placenta acreta,,X,,,
HP:0025655,Placenta increta,Placenta increta,Placenta increta,,X,,,
HP:0033043,Edematous chorionic villi,Vellosidades coriónicas edematosas,Edema de vellosidades coriónicas,,-,,,
HP:0001790,Nonimmune hydrops fetalis,Hidropesía fetal no inmunológica,Hidropesía fetal no inmunitaria (Hidrops feal no inmune),,,X,Inmunológica -> inmunitaria?,
HP:0010942,Echogenic intracardiac focus,Enfoque intracardíaco ecogénico,Foco ecogénico intracardiaco fetal,,,X,Engfoque -> foco,
HP:0025671,Fetal pericardial effusion,Derrame pericárdico fetal,Derrame pericárdico fetal,,X,,,
HP:0025730,Foramen ovale aneurysm,aneurisma del foramen oval,Aneurisma del foramen oval,,X,,,
HP:0034196,Ductus venosus agenesis,Agenesia del ductus venoso,Agenesia del conducto venoso,x,,X,https://dptm.es/dptm/?k=ductus,No preferido ductus
HP:4000105,Abnormal four chamber view of the fetal heart,visión anormal de cuatro cámaras del corazón fetal,Imagen anormal de las cuatro cámaras del corazón fetal,,,X,view -> imagen no visión,
HP:4000143,Abnormal fetal heart outflow tract,tracto de salida fetal anómalo,Tracto de salida del corazón fetal anormal,,X,X,Falta heart,
HP:0000474,Thickened nuchal skin fold,Pliegue engrosado de la piel nucal,Engrosamiento de los pliegues cutáneos de la nuca (engrosamiento del pliegue nucal),,,X,engrosamiento del pliegue de la nuca,
HP:0010943,Echogenic fetal bowel,Intestino fetal ecogénico,Intestino fetal ecogénico,,X,,,
HP:0010945,Fetal pyelectasis,Pielectasia fetal,Pielectasia fetal,,X,,,
HP:0010952,Mild fetal ventriculomegaly,Ventriculomegalia fetal leve,Ventrículomegalia fetal leve,,X,,,
HP:0010963,Absence of stomach bubble on fetal sonography,Ausencia de burbujas en el estómago en la ecografía fetal,Ausencia de estómago en ecografía fetal,,,X,burbujas mal,
HP:0011426,Fetal choroid plexus cysts,Quistes del plexo coroideo fetal,Quistes fetales del plexo coroideo,,-,,,
HP:0011427,Enlarged fetal cisterna magna,Cisterna fetal magna ampliada,Cisterna magna fetal aumentada,,X,X,fetal mal colocado ?,
HP:0011428,Short fetal femur length,longitud del fémur fetal corto,Longitud del fémur fetal disminuída,,X,X,+-,
HP:0011429,Short fetal humerus length,longitud del húmero fetal corto,Longitud del húmero fetal disminuída,,X,X,+-,
HP:0011430,Hypoplasia of fetal nasal bone,Hipoplasia del hueso nasal fetal,Hipoplasia fetal del hueso nasal (hipoplasia del hueso nasal),,X,X,fetal mal colocado ?,
HP:0011431,Fetal fifth finger clinodactyly,Clinodactilia fetal del quinto dedo de la mano,Clinodactilia fetal del 5º dedo,X,X,,,
HP:0025663,Reduced fetal femur/foot length ratio,relación fémur/pie fetal reducida,Reducción de la relación entre la longitud del pie y el fémur fetal,X,X,,,
HP:0025705,Abnormal fetal nasal bone visualization,visualización anómala del hueso nasal fetal,Visualización anormal del hueso nasal fetal,X,X,,,
HP:0032269,Lemon sign,signo de lima,Signo del limón,,,X,lima o limón,
HP:0034072,Abnormal fetal long-bone echogenicity,ecogenicidad anormal del hueso largo fetal,Anomalía ecográfica de los huesos largos fetales,,-,,,
HP:0034226,Champagne cork sign,signo de tapón de Champagne,Signo de corcho de champán en la ecografía fetal,X,X,,,
HP:4000142,Fetal trigonocephaly,Trigonocefalia fetal,Trigonocefalia fetal,,X,,,
HP:0010878,Fetal cystic hygroma,Higroma fetal quístico,Higroma quístico fetal,,X,X,fetal mal colocado ?,
HP:0010880,Increased nuchal translucency,aumento de la translucidez nucal,Aumento de la translucencia nucal fetal,,-,X,traslucencia,
HP:0025701,Distended jugular lymphatic sacs,sacos linfáticos yugulares distendidos,Sacos linfáticos yugulares agrandados,X,X,,,
HP:0034240,Fetal neck mass,Masa en el cuello fetal,Masa cervical fetal,,-,,,
HP:0034250,Fetal nuchal edema,Edema nucal fetal,Edema nucal fetal,,X,,,
HP:0007549,Desquamation of skin soon after birth,Descamación de la piel poco después del nacimiento,Descamación de la piel inmediatamente después del nacimiento,X,X,,,
HP:0025672,Fetal skin edema,Edema fetal cutáneo,Edema cutáneo fetal,,X,X,fetal mal colocado ?,
HP:0025724,Caseous vernix-like desquamation,Descamación caseosa tipo vernix,Descamación caseosa tipo vérnix,,X,,,
HP:0034262,Absent lanugo,Ausencia de lanugo,Ausencia de lanugo,,X,,,
HP:0034208,Fetal intracranial hemorrhage,Hemorragia intracraneal fetal,Hemorragia intracraneal fetal,,X,,,
HP:4000138,Absent cavum septum pellucidum,Ausencia de cavum septum pellucidum,Ausencia de cavum septum pellucidum,,X,,,
HP:0001791,Fetal ascites,Ascitis fetal,Ascitis fetal,,X,,,
HP:0025656,Prenatal double bubble sign,signo de burbuja doble prenatal,Signo de doble burbuja prenatal,,-,,,
HP:0025674,Meconium pseudocyst,Pseudoquiste de meconio,Pseudoquiste de meconio,,X,,,
HP:0034244,Gastric pseudomass,Pseudomasa gástrica,Pseudomasa gástrica,,X,,,
HP:0034547,Intraluminal meconium calcification,Calcificación intraluminal del meconio,Calcificación de meconio intraluminal,,-,,,
HP:4000139,Fetal abdominal cyst,Quiste abdominal fetal,Quiste abdominal fetal,,X,,,
HP:4000140,Fetal bowel dilatation,Dilatación intestinal fetal,Dilatación del intestino fetal,,X,,,
HP:0031170,Female fetal virilization,virilización fetal femenina,Virilización fetal femenina,,X,,,
HP:0034217,Sonographic non-visualized fetal bladder,Vejiga fetal no visibilizado ecográfica,Ausencia de visualización ecográfica de la vejiga fetal,,,X,Traducción rara,
HP:0034247,Fetal lower urinary tract obstruction,Obstrucción del tracto urinario inferior fetal,Obstrucción del tracto urinario inferior fetal,,X,,,
HP:0010959,Congenital pulmonary airway malformation,Malformación congénita de las vías aéreas pulmonares,Malformación adenomatoidea quística congénita del pulmón,X,X,,,
HP:0025676,Fetal pleural effusion,derrame pleural fetal,Derrame pleural fetal,,X,,,
HP:0034246,Fetal scalp mass,Masa en el cuero cabelludo fetal,Masa en el cuero cabelludo fetal,,X,,,
HP:0001558,Decreased fetal movement,Disminución del movimiento fetal,Disminución de los movimientos fetales,,X,,,
HP:0010519,Increased fetal movement,aumento del movimiento fetal,Aumento de los movimientos fetales,,X,,,
HP:0010947,Abnormality of ductus venosus blood flow,anomalía del flujo sanguíneo del conducto venoso,Anomalía del flujo sanguíneo del ductus venoso,X,,,ductus,
HP:0011726,Persistent fetal circulation,Circulación fetal persistente,Circulación fetal persistente,,X,,,
HP:0012021,Persistent patent ductus venosus,Ductus venoso persistente,Ductus venoso patente persistente,x,,X,ductus,
HP:0012022,Congenital portosystemic venous shunt,Derivación venosa portosistémica congénita,Cortocircuito (shunt) venoso portosistémico congénito,,-,,,
HP:0034191,Elevated fetal middle cerebral artery peak systolic velocity,Aumento de la velocidad pico sistólica de la arteria cerebral media fetal,Elevación de la velocidad sistólica máxima de la arteria cerebral media fetal,,,X,pico -> máxima,
HP:0041095,Decreased middle cerebral artery pulsatility index,Disminución del índice de pulsatilidad de la arteria cerebral media,Disminución del índice de pulsatilidad de la arteria cerebral media,,X,,,
HP:0034223,Elevated umbilical artery pulsatility,Pulsatilidad elevada de la arteria umbilical,Pulsatilidad elevada de la arteria umbilical,,X,,,
HP:0034224,Absent end-diastolic umbilical artery flow,Ausencia de flujo de la arteria umbilical telediastólica,Ausencia de flujo de la arteria umbilical al final de la diástole,X,X,,,
HP:0034225,Reversed end-diastolic umbilical artery flow,flujo umbilical telediastólico reversa,Flujo reverso de la arteria umbilical al final de la diástole,X,X,,,
HP:0500258,Abnormal carbon dioxide level in cord blood,nivel anormal de dióxido de carbono en sangre del cordón umbilical,Nivel anormal de dióxido de carbono en la sangre del cordón umbilical,,X,,,
HP:0500259,Abnormal oxygen level in cord blood,nivel de oxígeno anormal en la sangre del cordón umbilical,Nivel anormal de oxígeno en la sangre del cordón umbilical,,X,,,
HP:0011414,Hydropic placenta,Placenta hidrópica,Placenta hidrópica,,X,,,
HP:0011129,Bilateral fetal pyelectasis,Pielectasia fetal bilateral,Pielectasia fetal bilateral,,X,,,
HP:0025706,Absent fetal nasal bone,Ausencia del hueso nasal fetal,Hueso nasal fetal ausente,X,X,,,
HP:0025707,Hypoplastic nasal bone,Hipoplasia del hueso nasal,Hueso nasal hipoplásico,X,X,,,
HP:0034073,Reduced fetal long bone echogenicity,Disminución de la ecogenicidad del hueso largo fetal,Disminución de la ecogenicidad de los huesos largos fetales,,X,X,hueso largo -> huesos largos,
HP:0034074,Increased fetal long bone echogenicity,Aumento de la ecogenicidad del hueso largo fetal,Aumento de la ecogenicidad de los huesos largos fetales,,X,X,hueso largo -> huesos largos,
HP:0034210,Fetal intraventricular hemorrhage,Hemorragia intraventricular fetal,Hemorragia intraventricular fetal,,X,,,
HP:0034211,Fetal cerebral parenchymal hemorrhage,Hemorragia parenquimatosa cerebral fetal,Hemorragia del parénquima cerebral fetal,X,X,,,
HP:0034212,Fetal extra-axial hemorrhage,Hemorragia extra-axial fetal,Hemorragia extraaxial fetal,,X,,,
HP:0034213,Fetal posterior fossa hemorrhage,Hemorragia de la fosa posterior fetal,Hemorragia de fosa posterior fetal,,X,,,
HP:0025725,Type 1 congenital pulmonary airway malformation,Malformación congénita de las vías aéreas pulmonares tipo 1,Malformación congénita de las vías respiratorias pulmonares tipo 1,,X,,,
HP:0025726,Type 2 congenital pulmonary airway malformation,Malformación congénita de las vías aéreas pulmonares tipo 2,Malformación congénita de las vías respiratorias pulmonares tipo 2,,X,,,
HP:0025727,Type 3 congenital pulmonary airway malformation,Malformación congénita de las vías aéreas pulmonares tipo 3,Malformación congénita de las vías respiratorias pulmonares tipo 3,,X,,,
HP:0025677,Fetal chylothorax,Quilotórax fetal,Quilotórax fetal,,X,,,
HP:0025678,Fetal hydrothorax,Hidrotórax fetal,Hidrotórax fetal,,X,,,
HP:0001989,Fetal akinesia sequence,Secuencia de aquinesia fetal,Secuencia de aquinesia fetal,,X,,,
HP:0410214,Hypercapnia in cord blood,Hipercapnia en la sangre del cordón umbilical,Hipercapnia en sangre de cordón,X,X,,,
HP:0410215,Hypocapnia in cord blood,Hipocapnia en sangre del cordón umbilical,Hipocapnia en sangre de cordón,X,X,,,
HP:0410212,Hyperoxemia in cord blood,Hiperoxemia en la sangre del cordón umbilical,Hiperoxemia en sangre de cordón,X,X,,,
HP:0410213,Hypoxemia in cord blood,Hipoxemia en sangre del cordón umbilical,Hipoxemia en sangre de cordón,X,X,,,
HP:0034209,Fetal subependymal hemorrhage,Hemorragia subependimaria fetal,Hemorragia subependimaria fetal,,X,,,
HP:0034214,Fetal intraventricular hemorrhage without ventriculomegaly,Hemorragia intraventricular fetal sin ventriculomegalia,Hemorragia intraventricular fetal sin ventriculomegalia,,X,,,
HP:0034218,Fetal intraventricular hemorrhage with ventriculomegaly,Hemorragia intraventricular fetal con ventriculomegalia,Hemorragia intraventricular fetal con ventriculomegalia,,X,,,
HP:0034219,Fetal intraventricular hemorrhage with periventricular hemorrhage,Hemorragia intraventricular fetal con hemorragia periventricular,Hemorragia intraventricular fetal con hemorragia periventricular,,X,,,
HP:0034215,Fetal cerebellar hemisphere hemorrhage,Hemorragia del hemisferio cerebeloso fetal,Hemorragia del hemisferio cerebeloso fetal,,X,,,
HP:0034216,Fetal cerebellar vermis hemorrhage,Hemorragia fetal del vermis cerebeloso,Hemorragia del vermis cerebeloso fetal,,X,X,fetal mal colocado ?,
