reference,actual
citrato bismuto de ranitidina,Citrato de bismuto de ranitidina
rendimiento escolar insatisfactorio,escuela de bajo rendimiento
adenoma renal,adenoma renal
alteraciones de comportamiento,cambios en el comportamiento
transmitido por garrapatas,por ticas
úlcera alrededor de la boca,úlcera alrededor de la boca
modelo de COVID,Modelo de COVID
cáncer testicular,cáncer de testículo
"La FIO2 inicial era del 60%, mientras que el caudal de aire era de 50 L/min.","El flujo inicial de FiO2 fue del 60%, mientras que la velocidad de flujo de gas fue de 50 L/min."
"Doce días después de la retirada de la IMEC, el paciente presentó súbitamente una neumonía gramnegativa (Pseudomonas aeruginosa y Klebsiella pneumoniae) y murió de choque séptico en pocas horas, sin ninguna alteración de la actividad del VI.","Doce días después de la desteteción de la ECMO, el paciente desarrolló repentinamente una neumonía Gram- negativa (Pseudomonas aeruginosa y Klebsiella pneumoniae) y murió de shock séptico en pocas horas, sin ningún deterioro adicional de la función de la LV."
estenosis valvular pulmonar,Estenosis pulmonar valvular
gliomas lobulares,gliomas del lóbulo
"El paciente presentó evidencia de insuficiencia cardíaca leve, con disnea, derrame pleural y valor alto de prohormona N-terminal del péptido natriurético cerebral (4473 pg/mL), controlada con dosis bajas de diuréticos durante 4 días.","El paciente presentaba pruebas leves de insuficiencia cardíaca, incluyendo disnea, efusión pleural y un aumento del NT-proBNP (peptido natriurético de tipo N-terminal pro-B; 4473 pg/ mL), controlado con dosis bajas de diuréticos durante 4 días."
desgarro cutáneo,rasguño de la piel
"Se inició tratamiento con hidroxicloroquina 200 mg dos veces al día y acetaminofeno 500 mg cada 6 horas. Después de dos días, el paciente presentó un exantema maculopapuloso eritematoso prurítico y lesiones en escarapela atípicas que se inició en el extremo distal de las extremidades superiores y afectó rápidamente a todo el cuerpo, así como ampollas desgarradas que solo se apreciaban como úlceras en la zona orolabial.","Se inició la administración de HCQ 200 mg dos veces al día y 500 mg de acetaminofeno cada 6 horas. Después de dos días, el paciente presentaba una erupción maculopapular eritematosa pruritaria y objetivos atípicos planos que se iniciaban desde la parte distal de las extremidades superiores, que rápidamente involucraban todo el cuerpo y las ampollas rasgadas que sólo se veían como úlceras en el área orolabia."
emocionalidad,La emoción
Las pruebas consecutivas de diagnóstico por la imagen que se muestran en la figura ilustran la mejora del paciente tras la terapia.,Los estudios de imágenes en serie en la figura ilustran la mejora del paciente después de la terapia.
ceguera permanente,ceguera permanente
TENS convencional,decenas convencionales
emisiones otoacústicas,emisiones otoacoústicas
forma prematura,forma prematura
fusión de elementos,fusión de elementos
Psicosis tóxica,psicosis tóxica
síntomas psiquiátricos,síntomas psiquiátricos
eritema,eritema
Acudió a urgencias con malestar general y disnea.,Se presentó en la sala de emergencias con malestar general y dificultad para respirar.
Las pruebas de LCR dieron cifras normales de células (5 x 106/L; intervalo normal: 0-8 × 106/L) y valores altos de proteínas (124 mg/dL; intervalo normal: 8-43 mg/dL).,"El ensayo de CSF (día 4) mostró un recuento normal de células (5 106/L, normal: 0-8 106/L) y un aumento del nivel de proteínas (124 mg/dL, normal: 8-43 mg/dL)."
psoriasis cutánea,psoriasis de la piel
tomivosertib,Tomivosertib
quistes porencefálicos,cistos porencefálicos
acontecimientos accidentales,eventos accidentales
"Además, se enviaron muestras de frotis orofaríngeos y nasofaríngeos a un laboratorio privado externo para una prueba de reacción en cadena de la polimerasa (RT-PCR) en tiempo real.","Además, se enviaron muestras de suab nasofáringeo y orofaringeo a un laboratorio privado externo para el análisis de reacción en cadena de la transcriptasa polimerasa reversa (PCR) de SARS-CoV-2 en tiempo real."
"El recién nacido pesaba 1390 g (Apgar a 1 minuto y 5 minutos de 7 y 9, respectivamente) y fue trasladado a la UCI neonatal; un frotis nasofaríngeo fue negativo para SARS-CoV-2 en los días 1, 7 y 14.","El bebé macho de 1390 g (1-min y 5-min Apgar anotó 7 y 9, respectivamente) fue transferido a la UICN; el swab nasofáringeo fue negativo para el SARS-CoV-2 en los días 1, 7 y 14."
comportamientos en el mundo real,comportamientos del mundo real
bencilpenicilina,la bencilpenicilina
fisiología de las plantas,fisiología de las plantas
masa en las vías digestivas y respiratorias altas,masa de la cabeza y el cuello
tumores hipofisarios,tumores de la pituitaria
mecanismo celular,Mecanismo celular
presencia de marcadores,presencia de marcadores
drenaje purulento,drenaje purulento
litotripsia extracorpórea del riñón,de los riñones
macrófago,macrófagos
esclerosis nodular,Esclerosis nódular
Tenía antecedentes de diabetes mellitus e hipertensión arterial.,Tenía antecedentes de diabetes mellitus y hipertensión arterial.
artropatía hombro izquierdo,Artropatía de la parte del hombro
salud oftalmológica,salud ocular
carcinoma microcítico,carcinoma de células de avena
móvil,El móvil
discapacidades sensoriales,discapacidades sensoriales
alergia incremento,aumento de la alergia
"Los anticuerpos antineuronales contra antígenos neuronales intracelulares (inmunotransferencia PNS9DIV-24; Ravo, Freiburg, Alemania) y superficiales (ensayo celular: NMDAR, AMPAR, GABAbR, AMPA1/2, Caspr2, Lgi1, DPPX, FA 112d-1003-6; EuroImmun) fueron negativos en suero y LCR.","Los anticuerpos auto- neuronales anti- intracellular (immunodot PNS9DIV-24; Ravo, Freiburg, Alemania) y superficial (análisis basados en células: NMDAR, AMPAR, GABAbR, AMPA1/ 2, Caspr2, Lgi1, DPPX, FA 112d-1003-6; EuroImmun) fueron negativos en suero y CSF."
"Los valores Ct de las muestras de frotis nasofaríngeos, sangre y heces del niño, obtenidas el 9 de abril, fueron 32,71, 33,10 y 32,84, respectivamente.","Los valores de Ct de las muestras de sangre, heces y NPS del bebé tomadas el 9 de abril fueron detectados como 32,71, 33,10, 32,84, respectivamente."
vegetación escasa,vegetación escasa
enuresis diurna,Enuresis diurna
oxidativo,Oxidante
dolor de gargante frecuente,frecuente dolor de garganta
ecografía de las nalgas,cuello de ultrasonido
pólipos,polipos
análisis completo,Análisis completos
territorio inferior,territorio inferior
paciente crítico,paciente crítico
neoplasia maligna piel brazo,Neocártico maligno. brazo de piel
capacidad cognitiva,capacidad cognitiva
trastornos del lenguaje,trastornos del lenguaje
vítreo,de vidrio
espermatogénico,espermatogénico
estado de ánimo disfórico,Disforia del estado de ánimo
formación de vasos sanguíneos,formación de vasos sanguíneos
William Hunter,William Hunter
trombosis,trombosis
enfermedad de Parkinson,enfermedad de Parkinson
desmielinización viral,desmielinización viral
realización de ejercicio,desempeño del ejercicio
Ingresó en nuestro hospital un hombre de 23 años cuyos síntomas principales eran fiebre y tos con una evolución de 9 días.,Un hombre de 23 años con principales quejas de fiebre y tos durante 9 días fue ingresado en nuestro hospital.
formación de cicatriz,formación de cicatrices
infarto agudo de miocardio apical,Infarto de miocardio apical agudo
capaz de usar el humor,con el humor
Coronavirus murciélago HKU3-4,El coronavirus SARS del murciélago HKU3-4
absceso viento,viento de abceso
"A la exploración física no se percibieron estertores secos ni húmedos en ambos pulmones y se registró una temperatura de 37,3 °C, pulso de 92 l.p.m., frecuencia respiratoria de 18 r.p.m. y presión arterial de 113/79 mmHg.","El examen físico no reveló rales secas y húmedas en ambos pulmones con una temperatura de 37,3 C, frecuencia cardíaca de 92 latidos/min, frecuencia respiratoria de 18 veces/min y presión arterial de 113/79 mmHg."
hesperidina,heesperidina
abdomen dolor a la palpación,palpación de dolor abdominal
comienzo tardío,Inicio tardío
El siguiente día dio positivo en una prueba para COVID-19 mediante RT-PCR.,"Al día siguiente, se le dio positivo para COVID-19 a través de RT-PCR."
penetrancia incompleta,Penetración incompleta
desarrollo del tracto digestivo,desarrollo del tracto digestivo
cansancio o fatiga,cansancio o fatiga
palidez temporal,Pallado temporal
arteriopatía periférica,enfermedad arterial periférica
trastorno grave,trastorno grave
síndrome tipo shock tóxico,síndrome similar al shock tóxico
inflamación aguda,inflamación aguda
materia orgánica,materia orgánica
La exploración respiratoria fue normal.,El examen respiratorio fue normal.
sarcoidosis pulmonar,sarcoidosis pulmonar
infección bacteriana secundaria,infección bacteriana secundaria
leucemia linfoblástica de precursores B,Leucemia linfoblástica precursora b
nariz recta,Nose recta
hiperqueratosis plantar,hiperqueratosis plantar
órgano compuesto cavitado,órgano compuesto cavitado
rasgos de tipo psicopático,rasgos psicópatas
actividad del receptor viral,actividad del receptor del virus
preiser,el preizero
debilidad de las extremidades,debilidad de las extremidades
tendencia a la hemorragia,Tendencia a sangrar
ritmo,ritmo
parálisis cerebral espástica,parálisis cerebral espástica
veces al día,veces al día
células especializadas,células especializadas
"Se hallaba hipoxémico, con una saturación de oxígeno de 90% en aire ambiental y febril con 38,5 °C.",Él era hipoxémico con una saturación de oxígeno del 90% en el aire de la habitación y febril a 101.3 ° F en la presentación.
estabilidad afectiva,estado de ánimo de estabilidad
infecciones graves,infecciones graves
trofismo,el trofismo
edema estromal,edema de estroma
neuronas retinianas,neuronas de la retina
dihidroartemisina,dihidroartemisinina
golpes repetitivos en la cabeza (síntoma),golpe repetitivo de la cabeza (síntoma)
"La exploraciónreumatológica reveló valores muy bajos de factores de complementoC3 y C4 (26 y < 1,68 mg/dL, respectivamente), así como anticuerpos antinucleares negativos.","La investigación reumatológica reveló niveles muy bajos de factores complementariosC3 y C4 (26 y < 1,68 mg/dL, respectivamente) y anticuerpos antinucleares negativos."
deformidad uña (del pie),deformidad de la uña del pie
edad del cónyuge (historia),edad del cónyuge (historia)
célula clave de la vaginosis,celda de indicios
desorientación empeora gradualmente,Desorientación que empeora constantemente
carencia de st,deficiencia
completar 1er grado,completando el primer grado
pirfenidona,pirfenidona
estado embarazada,estado embarazado
numerosas anomalías,numerosas anomalías
"El paciente se trató con colchicina, 1 mg al día.",El paciente fue tratado con colchicina 1 mg al día.
apéndice auricular acts,Actos de apéndice auricular
sepsis bacteriana,Sepsis bacteriana
lesiones cutáneas de muchos tamaños,tamaño de las lesiones cutáneas múltiples
oreja pu,oido pu
tumores óseos,tumores óseos
defecar,defecar a las canas
selección de embriones,selección de embriones
"Fue dada de alta el día 30, con fuerza muscular normal y recuperación de los reflejos en ambos brazos y piernas.","Al salir el día 30, tenía fuerza muscular normal en ambos brazos y piernas y retorno de reflejos tendinosos en ambas piernas y pies."
pérdida de piezas dentarias,pérdida de dientes
"Al ingreso, el líquido cefalorraquídeo (LCR) reveló una leve pleocitosis (9 células/μl), valor normal de proteínas y PCR negativa para SARS-CoV-2.","El líquido cefalorraquídeo (CSF) al ingreso reveló pleocitosis leve (9 células/μl), contenido normal de proteínas y pruebas PCR negativas para SARS-CoV-2."
"Los problemas respiratorios mejoraron y fue extubado el 6 de abril y se le retiró la oxigenoterapia, aunque aún necesitaba soporte renal intermitentemente.","Desde una perspectiva respiratoria, mejoró y fue extubado el 6 de abril, y se destetó de oxígeno suplementario aunque todavía necesitaba apoyo renal de forma intermitente."
bloqueo de la transmisión,bloqueo de transmisión
"El paciente fue tratado con oxigenoterapia mediante cánula nasal, hemodiálisis regular, antihipertensivos, moxifloxacina (400 mg al día) y terapia antivírica con lopinavir/ritonavir (2 comprimidos dos veces al día).","El paciente fue tratado con apoyo de oxígeno mediante cánula nasal, hemodiálisis regular, medicamentos antihipertensivos, moxifloxacina (400 mg diarios) y terapia antiviral con lopinavir/ ritonavir (2 tabletas dos veces al día)."
coronavirus SARS GDH-BJH01,El coronavirus SARS GDH-BJH01
"El análisis de sangre reveló un aumento de la proteína C-reactiva (125 mg/L), hiperleucocitosis (12.600/mm3) y linfocitopenia.",Los análisis de sangre revelaron un aumento de la proteína C- reactiva (125 mg/ L) y una hiperleucotosis (12 600/ mm3) con linfopenia.
forma indirecta,de manera indirecta
posoperatorio defecto interventricular,VSD postoperatorio
tiroidectomía total,tiroidectomía total
terapia dirigida,terapia dirigida
convulsiones tónico-clónicas,convulsiones tónicas-clónicas
Una TAC mostró leves opacidades de vidrio esmerilado en los lóbulos pulmonares inferiores.,La tomografía computarizada (TC) reveló una ligera opacidad de vidrio molido en los lóbulos pulmonares inferiores.
dehiscencia de suturas,interrupción de la herida
hendidura nasal,la hendidura de la nariz
pigmento cutáneo,Pigmento de la piel
jornada laboral,día de trabajo
metabolismo del nucleósido monofosfato,Proceso metabólico del monofosfato nucleosídeo
sobrenutrición del lactante,Sobrenutrición infantil
subdivisión del tubo,subdivisión del tubo
personas normales,gente normal
rutina repetitiva,rutina repetitiva
lesión primaria,Lesiones primarias
músculo tibial,tibialis
enfermedades importantes,enfermedades importantes
síntoma neurológico y fisiológico,síntoma neurológico y fisiológico
estructura derivada del ectodermo,estructura derivada de la ectodermía
mucosa esofágica,mucosal esofágico
enfermedades priónicas,Enfermedades priónicas
doe iron,hierro de las cuchillas
Aumento de la lipoproteína,aumento de las lipoproteínas
"La TAC torácica mostró opacidades de vidrio esmerilado bilaterales, básicamente periféricas, con múltiples áreas de consolidación parenquimatosa que afectaba aproximadamente el 25% de cada pulmón.","La tomografía computarizada del pecho mostró opacidades bilaterales, en su mayoría periféricas, de vidrio de fondo con múltiples áreas de consolidación parenquimal que involucran aproximadamente el 25% de cada pulmón."
drenaje torácico,drenaje torácico
átomos de carbono,átomos de carbono
nicotinamida,nicotinamida
tigeciclina,Tigeciclina
alimentación forzada,alimentación de fuerza
osteomuscular,Musculoesquelético
Creencia irracional,creencia irracional
linfoma linfoblástico de precursores T,Límfoma linfoblástico t- precursor
dolor durante la relación sexual,dolor durante el acto sexual
conductas de vómito,comportamientos de vómitos
sigmoidectomía,sigmoidectomía
calidad pública,condición pública
presencia de enfermedad,presencia de patología
"Los hemocultivos y los panelesvíricos respiratorios fueron negativos en esputo y sangre, con un frotisnasofaríngeo positivo para SARS-CoV-2 y confirmación serológicade infección previa por SARS-CoV-2, con IgG e IgA positivas(probadas en suero obtenido antes del tratamiento con IG i.v.).",Los cultivos sanguíneos y los paneles respiratorios viruales fueron negativos en el esputo y la sangre con una muestra nasofáringea SARSCoV-2 positiva y confirmación serológica asociada de infección pasada con SARS-CoV-2 con IgG y IgA positivos (testado en muestras de suero tomadas antes del tratamiento con IVIG).
"Un hombre de 18 años con antecedentes de trastorno bipolar, trastorno del espectro autista, trastorno por déficit de atención con hiperactividad, hipotiroidismo y asma leve persistente fue llevado por su madre al servicio de urgencias a causa de la alteración de la conciencia.","Un hombre de 18 años con antecedentes médicos de trastorno bipolar, trastorno del espectro autista, trastorno por déficit de atención, hiperactividad, hipotiroidismo y asma leve persistente fue llevado al departamento de emergencia por su madre debido a alteraciones de conciencia."
alcance,el alcance de la doe
toxicidad,toxicidad
otalgia,la otalgia
rinoscopia,Rinoscopia
membrana mitocondrial interna,membrana interna mitocondrial
diabetes de tipo 2,enfermedad de diabetes tipo 2
dolor articulación afectación antebrazo,dolor en las articulaciones involucra antebrazo
heterodímeros,heterodímeros
"El valor previo del factor antinuclear era desconocido, y hasta la fecha no se ha investigado si la COVID-19 puede inducir este tipo de anticuerpos.",El título anterior de la ANA era desconocido y hasta ahora no se ha investigado si el COVID-19 puede inducir tales anticuerpos.
incidencia de problemas,incidencia de problemas
La paciente fue tratada con ventilación no invasiva y una combinación de lopinavir/ritonavir e hidroxicloroquina.,El paciente fue tratado con ventilación no invasiva y una combinación de lopinavir/ ritonavir y hidroxicloroquina.
alteraciones de la coagulación,trastornos de la coagulación
valvular,de las válvulas
"El día 29, se detectó Candida, α-herpesvirus humano y β-herpesvirus en el lavado broncoalveolar; los hemocultivos fueron positivos para Bacteroides ovalus, lo que indicaba un agravamiento de la sobreinfección.","Candida, α- herpesvirus humano y β- herpesvirus fueron detectados en BALF el día 29, y el cultivo sanguíneo fue positivo para Bacteroides ovalus, lo que indica el empeoramiento de la infección secundaria."
fractura craneal,fractura del cráneo
"Como no se apreció mejora, se inició ventilación no invasiva.","No hubo mejoría, por lo que se inició la ventilación no invasiva (VNI)."
amplia variedad de trastornos,una amplia gama de trastornos
antro,Antrum
opacidad cristalina,opacidad cristalina
sangrado crónico GI inferior,sangrado crónico
hermano entumecido,hermano entumecido
alteraciones musculares,alteraciones musculares
ocular,Ocular
cambiar ekg,cambio ekg
Su estado clínico empeoró y se trasladó a la UCI pediátrica.,"Su condición clínica se deterioró, fue trasladado a la UPI."
estrabismo,el ojo
"El día 10, la cefalea había desaparecido, no había nuevas manifestaciones neurológicas y la cifra de trombocitos había aumentado a 10.000 por mm cúbico.","El día 10, el dolor de cabeza había desaparecido, no había nuevos hallazgos neurológicos, y el número de plaquetas había aumentado a 10.000 por milímetro cúbico."
mantenimiento de ubicación,mantenimiento de la ubicación
disfunción valvular,Disfunción de la válvula
colon irritable,colon irritable
El líquido pleural era un exudado con 28 g/L de proteína y 376 UI/L de LDH.,El líquido pleural fue un exudato con 28 g/L de proteína y 376 UI/L de LDH.
traumatismo pulmonar por onda expansiva,lesión pulmonar por explosión
oso gales,las galas de osos
diferencia temporal,diferencia temporal
otras neoplasias,otros crecimientos
labio grueso,labios más gruesos
problemas ajenos,problemas extranjeros
filtración renal,filtración renal
Una TAC torácica reveló múltiples opacidades de vidrio esmerilado bilaterales.,La tomografía computarizada del pecho mostró opacidades bilaterales múltiples en vidrio de tierra.
insuficiencia sexual,las deficiencias sexuales
síndrome plurimetabólico,síndrome plurimetábolico
"No consumía suplementos, era abstemio y nunca había fumado.","No consume suplementos, no tomaba alcohol y nunca fumaba."
virus de la enfermedad de Newcastle,virus de la enfermedad de Newcastle
subtipos clínicos,subtipos clínicos
Shigella dysenteriae,Shigella dysenteriae
prurito ambas manos,prurito de ambas manos
septicémico,septico
aceros inoxidables,Acero inoxidable
trastorno hematológico y de los tejidos hematopoyéticos ,Anormalidad de la sangre y los tejidos sanguíneos
inflamación de la glándula,hinchazón de las glándulas
"La VSG era de 55,6 mm/h.","El ESR fue de 55,6 mm/h."
osteopenia y osteoporosis,osteopenia y osteoporosis
"Se le administró 500 mg de levofloxacina durante 14 días así como corticoesteroides sistémicos (1 mg/kg) a causa del esputo parduzco y de los antecedentes de bronquiectasia (según los protocolos del hospital, no se inició ninguna pauta con lopinavir/ritonavir e hidroxicloroquina, pues, en ese momento, la paciente no presentaba hipoxemia).","Se administró 500 mg de levofloxacina durante 14 días y corticosteroides sistémicos (1 mg/ kg) debido a la expectación marrón y antecedentes de bronquiectasis (el lopinovir/ ritonavir y la hidroxicloroquina no se iniciaron de acuerdo con el protocolo hospitalario, en ese momento, ya que el paciente no tenía hipoxemia)."
osteopetrosis,osteopatrosis
cardiopulmonar,Cardiopulmonar
ácidos grasos de cadena corta,ácidos grasos de cadena corta
"A causa de la presencia concomitante de un extenso hematoma en el tronco, se realizó un análisis de TTPa, que reveló un tiempo prolongado (cociente 2,87).","Debido a la presencia concomitante de un hematoma extenso en el tronco, se realizó una aPTT, lo que resultó en una prolongada (ratio 2,87)."
regulación negativa del ciclo celular mitótico,regulación negativa del ciclo celular mitótico
lesiones tisulares,lesiones en el tejido
"En los días siguientes, continuó experimentando fiebre, mialgias, diarrea y disnea.","En los días siguientes, continuó teniendo fiebre, mialgias nuevas, diarrea y disnea."
distensión reducida,reducción de la tensión
"La muestra dio positivo para SARS-CoV-2 el día +3, con ciclo liminar (Ct) de 36.",Esta muestra resultó positiva para el SARS-CoV-2 en el día +3 con un valor de ciclo de umbral (Ct) de 36.
sensitivo-motor,motor sensible
Las opacidades de vidrio esmerilado de la primera TAC y las opacidades de vidrio esmerilado y consolidaciones de la segunda TAC en el segmento apicoposterior del lóbulo superior izquierdo se habían absorbido claramente.,El GGO inicial en la primera tomografía computarizada y el GGO inicial y la consolidación en la segunda tomografía computarizada en el segmento apicoposterior del lóbulo superior izquierdo fueron obviamente absorbidos.
Aumento de la ecogenicidad,Aumento de la ecogenicidad
quiste en el glúteo,Cisto de glúteos
El paciente mostró un grave síndrome de mutismo acinético; no se mostró colaborador y era incapaz de llevar a cabo órdenes simples si no se le estimulaba.,El paciente mostró un síndrome akinético grave asociado al mutismo; no cooperó y no podía realizar ni siquiera órdenes simples si no se le estimulaba.
vasculopatía,enfermedad vascular
sonidos intensos,sonidos intensos
La exploración neurológica inicial fue normal.,El resultado del examen neurológico fue normal.
Trabajaba como repartidor y estaba activo en situación normal.,Trabajaba como distribuidor de paquetes y era activo en su línea de base.
"Se observó un infiltrado linfohistiocítico moderado en la dermis superficial, asociado a un edema papilar dérmico.",En la dermis superficial se detectó un infiltrado linfohistiocítico moderado y se asoció con edema dérmico papillar.
reducción de la tensión arterial,reducción de la presión arterial
"El día 2, el paciente se recuperó completamente excepto por amnesia de los 2 días previos.","El día 2, se recuperó completamente, excepto por la amnesia de los dos días anteriores."
poliartritis,poliartritis
lesiones aneurismáticas,lesiones aneurismales
"El paciente dio negativo en dos pruebas consecutivas de ácido nucleico de 2019-nCoV (de frotis faríngeos), los días 25 y 27 de febrero y su pulsioximetría sin oxigenación era del 99%.","El paciente obtuvo negativo en dos pruebas consecutivas de ácido nucleico 2019-nCoV (sopa de garganta) el 25 y 27 de febrero, y su oximetría de pulso de los dedos sin oxigenación fue del 99%."
Un electromioneurograma fue normal.,Una electro-mioneurografía fue normal.
puntiforme,punto y punto
autohipnosis,autohipnosis
hiperfenilalaninemia benigna,hiperfenilalaninemia benigna
"Además, las muestras de sangre mostraron un aumento de la alanina-aminotransferasa (97 U/L) y de la creatinina (157 μmol/L), junto con hematuria, lo que indicaba una alteración de la capacidad hepática y renal.","Además, las muestras de sangre mostraron un aumento de la alanina aminotransferasa (ALT) (97 U/L) y la creatinina (157 μmol/L) combinadas con hematuría, lo que indica alteraciones en la función hepática y renal."
movimiento de los dedos,movimiento de los dedos
oxigenación a través de cánulas nasales de bajo flujo,oxigenación de las cánulas nasales de bajo flujo
rendimiento laboral,El desempeño del trabajo
visión borrosa izquierda,la visión borrosa de la salida
polineuropatía que provoca,la que conduce a la poliineuropatía
antecedentes familiares de dependencia y abuso de alcohol,antecedentes familiares de dependencia del abuso del alcohol
higiene bucal deficiente,higiene oral pobre
"Profesionales sanitarios, con estrictas medidas de precaución (manos, higiene, mascarilla, etc.)","La leche materna expresa fresca (sin pasteurizar ni congelar) fue administrada al bebé por profesionales de la salud bajo estrictas precauciones (higiene de las manos, máscara facial, etc.)."
coronavirus murciélago del SARS,SARS coronavirus de murciélago
crisis vasomotora de la arteria pulmonar,enrojecimiento pulmonar
riesgo disminuido,disminución del riesgo
tipos de espermatozoides,tipos de espermatozoides
crecimiento acelerado,acelerar el crecimiento
leucemia de células T,Leucemia de células t
soplo cardiaco anómalo,Sonidos anormales del corazón murmura
parénquima hemorragia cerebral,hemorragia cerebral parenquimal
pigmentos oculares,Pigmentos oculares
hernia de Richter,La hernia de Richter
frecuencia de las convulsiones,convulsiones de frecuencia
Se le diagnosticó una infección vírica.,Le diagnosticaron una infección viral.
escisión viral del ARNm del huésped,la división por virus del ARNm del huésped
terapia de retroalimentación psicofisiológica individual,tratamiento psicofisiológico individual biofeedback
atrofia ovárica,atrofia ovárica
medio interno,medio interno
obsesión-compulsión,Obsesividad y compulsividad
síntoma del sistema sanguíneo,síntoma del sistema hemicida
periodo gestacional,período de gestación
