reference,candidate
hemocromatósico,hemocromatosis
incidir,para cortar
estasis venosa,estasis venosa
enclavar,a las uñas
seróloga,serologist
movilidad,motilidad
sajar,para cortar abierto
talamotomía,talamotomía
consultar,consultar
pinza de disección,fórceps tisulares
vespertina,noche
leucoma,leucoma
ectoplásmico,ectoplasmático
versión combinada,versión combinada
hemicránea,hemicrania
calvo,calvo
perezosa,demora
mamario,mamario
yatrogenia,iatrogénesis
rotación interna,rotación interna
parto gemelar,nacimiento gemelo
nervio oftálmico,nervio oftalmológico
virus JC,Virus JC
eutanasia,muerte sin sufrimiento
ácido graso libre,ácido graso libre
intolerancia alimentaria,intolerancia alimentaria
brillo,brillo
carcinoma colorrectal,carcinoma de colon y recto
interfalángica,interfalangeal
nariz en silla de montar,nariz de la silla de montar
xenodiagnóstica,xenodiagnóstico
esquelético,esquelético
gripe aviar,gripe aviar
oscilopsia,oscilopsia
escarlatinosa,escarlatinal
parásito,parasito
tomográfico,tomográfico
talasemia menor,talasemia menor
retener,para recordar
cavidad abdominal,cavidad abdominal
detritus,Residuos
unciforme,uncinato
simpático,simpático
colangiografía,Colangiografía
idea de referencia,idea de referencia
cepillar,para cepillar
aspirador,aspirador
protrombina,protrombina
istmo de la próstata,istmo de próstata
expresividad,expresividad
inmunidad natural,inmunidad natural
porfiria aguda intermitente,Porfiria aguda intermitente
práctico,práctico
titubear,dudar
angiomatosis bacilar,angiomatosis bacilar
listeria,listeria
estereotipada,estereotipados
hemotórax,hemotórax
alumno interno,interno médico
esencial,esencial
rinitis vasomotora,rinitis vasomotora
indentación,sangría
proteína G,Proteína G
prevertebral,prevertebral
espinocerebeloso,espinocerebello
intoxicarse,ser envenenado
nistagmo vertical,nistagmo vertical
cefaleico,dolor de cabeza
espacio,área
cualidad,atributo
contigüidad,contigüidad
hidrofilia,hidrofilia
lámina basilar,lamina basal
reflexoterapia,reflexología
choque hipovolémico,shock hipovolémico
metabolómica,metabolomics
panencefalitis esclerosante subaguda,Panencefalitis esclerosante subaguda
lóbulo tiroideo,lóbulo de la glándula tiroides
rara,inusual
sistema métrico decimal,sistema métrico
calcinación,calcinación
carácter sexual secundario,características del sexo secundario
insensible,insensible
grado,grado
consolador,reconfortante
protuberancial,pontilo
osteoartritis,artritis inflamatoria
reflejo de enderezamiento,reflejo de derecha
prodrómica,prodromal
dorsiflexión,dorsiflexión
artralgia,dolor en las articulaciones
glioblastoma multiforme,glioblastoma multiforme
bulboesponjosa,bulbospongiosus
estenosis de la aorta,estenosis aórtica
ligamento alar,ligamento alar
yodado,yodado
confidencialidad,confidencialidad
proeritroblasto,proeritroblasto
tejido elástico,tejido elástico
mesón,Meson
cloaca,cloaca
salido,prominente
atrófico,atrófico
anteroexterno,anteroexternal
silueta cardíaca,sombra del corazón
braguero,truss
momificación,momificación
cuerda,cordón
sida,SIDA
histocompatibilidad,histocompatibilidad
subglotis,subglotis
cetoacidosis diabética,cetoacidosis diabética
inhibir,de abstenerse de
grafoelemento,elemento gráfico
aorta ascendente,aorta ascendente
gragea,píldoras recubiertas de azúcar
empastarse,para llenar
isointensa,isointensa
negativo,negativo
disráfica,disráfico
músculo gastrocnemio,gastrocnemius
agresión,ataque
lipocromo,lipocromo
rigidez de nuca,rigidez nucal
erisipela,erisipelas
imagen corporal,mapa del cuerpo
braquialgia,brachialgia
ferroterapia,tratamiento con hierro
activar,para activar
interferometría,interferometría
ectima contagioso,boca escabrosa
cara,cara
ecuación de Henderson-Hasselbalch,Ecuación Henderson-Hasselbalch
atraumática,no traumáticos
sonambulismo,Sonámbulo
angiografía por tomografía computarizada,angiografía por tomografía computarizada
seno dérmico,seno dérmico
rosario escorbútico,rosario escorbuto
mometasona,mometasona
-oma,-oma
característica,características
operar,para calcular
ligamento transverso de la rodilla,ligamento transversal de la rodilla
estadística,estadísticas
cifótico,cifótico
templado,tibio
subictérico,subictérico
insulina de acción intermedia,insulina intermedia
nervio genitofemoral,nervio genitofemoral
variabilidad,variabilidad
retroflexión,retroflexión
cefalostato,cefalostato
polineuropatía amiloidótica familiar,polineuropatía amiloide familiar
cristaloideo,cristaloides
contaminarse,contaminar
menstruar,para menstruar
mentoniano,mental
citocromo,citocromo
herbaria,herbario
callo,callus
abasia,abasia
embolización,embolización
calorífico,Producción de calor
citoprotector,citoprotector
anemia de Diamond-Blackfan,anemia hipoplásica congénita
desplazarse,para moverse
enjuagarse,para enjuagar
cariotipo,cariotipo
desembocadura,embotellado
famciclovir,famciclovir
somatosensorial,somatosensor
hiperclorémico,hipercloremia
astenópico,asthenópica
homóloga,homólogo
trasplante de páncreas,injerto de páncreas
glaucomatosa,glaucomatosa
asociación,combinación
osteoporótica,osteoporótico
peridérmica,peridérmica
cuerpo del radio,eje de radio
teórico,teorético
condición,estado
inferencia,inferencia
ecografía Doppler,Ecografía Doppler
marcar,para marcar
baja,corto
hueso isquion,isquio
síndrome de Pallister-Killian,tetrasomía 12p
balneario,spa
atrofodermia neurítica,piel brillante
hemolinfática,hemolinfático
angiopatía diabética,angiopatía diabética
troncal,truncal
ola,onda
desdoblamiento,división
laminado,laminación
displasia ectodérmica anhidrótica,displasia ectodérmica anhidrótica
experta,experto
hemicigota,hemizygote
condimento,aromatizante
crema protectora,nata protectora
infeccioso,infeccioso
-´geno,-génico
hemófila,hemofílicos
herniorrafia,herniorrafio
ácido docosahexaenoico,ácido docosahexaenoico
melicérico,color miel
melanosis coli,melanosis del colon
oclusal,oclusal
virus de la gripe B,influenzavirus B
distrofia muscular facioescapulohumeral,distrofia muscular facioscapulohumeral
ureteritis,ureteritis
proplásica,proplásico
refleja,reflejo
esfacelación,esfacelación
supracondíleo,supracondilar
prueba de χ%r2%r con corrección de Yates,prueba de chi-cuadrado con corrección de Yates
foliculitis decalvante,foliculitis descalvante
vena nutricia,vena nutritiva
clitoridectomía,clitoridectomía
desleírse,disolver
impermeabilidad,impermeabilidad
flebítico,flebítico
homosexual,homosexual
artrósica,osteoartrítico
neuropsicológico,neuropsicológico
corrección,Corrección
cisteína-proteasa,cisteína proteasa
celularidad,celularidad
betabloqueante,antagonista beta
cinta sin fin,cinta de correr
resfriado,abajo con un resfriado
recesivo,recesivo
isquemia subendocárdica,isquemia subendocárdica
íleo,íleo
electroósmosis,electro-osmosis
desorientación espacial,desorientación en marcha
cupruria,cobre en la orina (nivel)
fibroóptica,fibra óptica
conducto alveolar,conducto alveolar
párpado,párpado
coliforme,coliform
posteromedia,posteromediano
bariátrico,bariátrico
enferma,nauseas
evacuar,para evacuar
músculo flexor largo del pulgar,largo músculo flexor del pulgar
vía aérea,vía aérea
parasuicidio,daño autoinfligido
enterolito,enterolito
cervicalgia,cervicalgia
capacidad de difusión,capacidad de difusión
artritis gotosa,artritis gotosa
condiloma,condiloma
anticuerpo antimembrana basal glomerular,Anticuerpo de membrana basal antiglomerular
cistocele vaginal,cistocele vaginal
receptor quimérico de antígenos,inmunorreceptor quimérico
perforación de la membrana timpánica,ruptura timpánica (membrana)
protozoosis,protozoiasis
músculo aductor del dedo gordo,músculo aductor de gran dedo del pie
presintomática,presintomática
garrapata,garrapata
paludismo cuartano,malaria cuartana
fuente de energía,fuente de energía
anastomosis arteriolovenular,anastomosis arterial
fiebre tropical,fiebre tropical
analizar,para analizar
androgénesis,androgénesis
diagnóstico,diagnóstico
cápsula de gelatina blanda,cápsula de gel suave
paratiroidectomizado,persona paratiroidectomizada
testículo,testículo
hiperrefléxico,hiperrreflexico
departamento,departamento
feculenta,almidonado
reflejo de succión,reflejo de succión
reacción,reacción
antipsicótico clásico,antipsicóticos convencionales
pétrea,pétreo
etionamida,etionamida
gemelo,músculo gemelo
pinza vascular,pinza vascular
derivación ventriculoperitoneal,derivación ventriculoperitoneal
representación,representación
abortivo,abortar
palúdico,persona con malaria
vaginal,vaginal
aneurisma cardíaco,aneurisma cardíaco
catalasa,catalasa
hemocorial,hemochorial
protuberancia,protuberancia
papilotomía,papilotomía
poliploidia,poliploidía
agitar,para enfadarse.
oxidasa,oxidasa
cólica,cólico
presión arterial,Presión arterial (arterial)
senescente,envejecimiento
virus ADN,Virus del ADN
músculo flexor corto de los dedos,músculo flexor corto de los dedos
anaerobiótica,anaerobiótico
glaucoma de ángulo cerrado,glaucoma de cierre de ángulo
acantocitosis,acantocitosis
cama,cama
antisecretor,antisecretario
pericardiocentesis,pericardiocentesis
vacuna pentavalente,vacuna pentavalente
celulósico,celulosa
alélico,alélico
óptica,óptica
aneurisma aórtico abdominal,aneurisma aórtico abdominal
hipoxemia,hipoxemia
parética,parético
variado,multiple
ovicida,ovicida
leche,leche
haluro,halogenuro
isomerización,isomerización
reabsorción,resorción
alimentarse,para alimentar
crítica,crítica
liofilizado,liofilizado
medida,medida
escama occipital,squama occipitalis
neuropsiquiátrico,neuropsiquiátrico
enzima convertidora,convertasa
polimérica,polimérico
-patía,-patía
glutamina,glutamina
base pirimidínica,base de pirimidina
ordenada,ordenada
estrés oxidativo,estrés oxidativo
hipocalciúrico,hipocalciúrico
instrumentación,instrumentación
cardiopatía estructural,enfermedad cardíaca estructural
vial,carretera
isomérico,isomérica
catapléjica,catapléjico
foveolar,foveolar
silicótico,silicótico
tartamudo,tartamudo
baño de asiento,baño sitz
hidrocistoma,hidrocistoma
bloqueo mental,bloqueo mental
dermoprotectora,protector de la piel
operación de Halsted,Operación de Halstead
aséptico,aséptico
rayos β,rayos beta
pico,pico
acroasfixia,dedos muertos
espinosa,espinosa
hueso incisivo,hueso incisivo
célula embrionaria,células embrionarias
índice,índice
convaleciente,convaleciente
-oide,-oid.
demencia degenerativa,demencia degenerativa
sarcóptico,sarcóptico
anatomía aplicada,anatomía aplicada
terapia anti-VEGF,tratamiento anti-VEGF
manteca de cacao,manteca de cacao
turbinoplastia,turbinoplastia
tronco esplenomesaraico,confluencia esplenomesentérica
ecografía transvaginal,Ecografía transvaginal
ligamento coraco-acromial,ligamento coraco-acromial
dedo supernumerario,dedo/dedo extra
precancerosa,precanceroso
nanocientífico,nanocientífico
coracoacromial,coracoacromial
desnucamiento,rotura del cuello
dosis fraccionada,dosis dividida
rabia,disgusto
monocromático,monocromático
hiperinmune,hiperinmune
siderosoma,siderosoma
simpaticotonía,simpaticotonia
protésica,prótesis
glándula salival,glándula salival
músculo esfínter del conducto colédoco,esfínter coledochi
igualatorio,grupo de seguro médico
peto esternocostal,placa torácica
transferencia,técnicas de transferencia
amínica,amina
droperidol,droperidol
lumbálgica,dolor de espalda
lobulillo hepático,lobulo hepático
antialérgica,antialergia
conducto auditivo externo,carne acústica externa
asistir,para asistir a un parto
secuenciación,secuenciación
expansor tisular,expansor tisular
músculo braquiorradial,brachioradialis
acoria,acorea
anaerobio facultativo,anaerobio facultativo
cigarrillo,cigarrillo
lateralidad,Lateralidad
débil,débil
trivalente,trivalente
adenocarcinoma de desviación mínima,adenoma malignum
amebiasis,amebiasis
asincronía,dissincronía
superponer,solapamiento
shigelosis,shigelosis
objetiva,objetivo
vermis del cerebelo,vermis cerebelli
hiperglicinuria,hiperglicinuria
hipoestésica,persona con hipestesia
auxotrófica,auxotrófico
interferencia por ARN,Interferencia del ARN
osteógena,osteogen
desnitrificar,para desnitrificar
martillo de reflejos,martillo reflejo
variable,variable
reacción anafilactoide,reacción similar a la anafilaxis
