reference,candidate
ectoplásmico,ectoplasmático
versión combinada,Versión combinada
hemicránea,hemicrania
calvo,Una persona calva
perezosa,retrasado
mamario,mamarias
yatrogenia,iatrogenesis
rotación interna,Rotación interna
parto gemelar,Nacimiento de gemelos
nervio oftálmico,Nervio oftálmico
virus JC,Virus JC
eutanasia,Muerte sin sufrimiento
ácido graso libre,Ácido graso libre
intolerancia alimentaria,Intolerancia a los alimentos
brillo,brillo
carcinoma colorrectal,Carcinoma de colon y recto
interfalángica,interfalangeo
nariz en silla de montar,Nariz de silla
xenodiagnóstica,xenodiagnostic
esquelético,esquelético
gripe aviar,Gripe aviar
oscilopsia,oscillopsia
escarlatinosa,Escarlatina
parásito,parásito
tomográfico,tomográfica
talasemia menor,Talasemia menor
retener,Para recordar
cavidad abdominal,La cavidad abdominal
detritus,residuos
unciforme,uncinate
simpático,sympathetic
colangiografía,colangiografía
idea de referencia,Idea de referencia
cepillar,Cómo cepillar
aspirador,aspirador
protrombina,protrombina
istmo de la próstata,Istmo de la próstata
expresividad,expresividad
inmunidad natural,La inmunidad natural
porfiria aguda intermitente,Porfiria intermitente aguda
práctico,practical
titubear,Sin dudarlo
angiomatosis bacilar,Angiomatosis bacilar
listeria,Listeria
estereotipada,estereotipadas
hemotórax,hemotórax
alumno interno,Pasante médico
esencial,esencial
rinitis vasomotora,Rinitis vasomotora
indentación,indentation
proteína G,Proteína G
prevertebral,Prevertebral
espinocerebeloso,Spinocerebellar
intoxicarse,Para ser envenenado
nistagmo vertical,Nistagmo vertical
cefaleico,Dolor de cabeza
espacio,área
cualidad,atributo
contigüidad,contiguidad
hidrofilia,Hydrophilia
lámina basilar,Lámina basal
reflexoterapia,Reflexología
choque hipovolémico,Choque hipovolémico
metabolómica,metabolomics
panencefalitis esclerosante subaguda,Panencefalitis esclerosante subaguda
lóbulo tiroideo,Síntomas de la glándula tiroides
rara,inusual
sistema métrico decimal,Sistema métrico
calcinación,calcinación
carácter sexual secundario,Característica sexual secundaria
insensible,insensible
grado,grado
consolador,reconfortante
protuberancial,pontile
osteoartritis,La artritis inflamatoria
reflejo de enderezamiento,Reflejo de enderezar
prodrómica,prodromal
dorsiflexión,dorsiflexión
artralgia,Dolor en las articulaciones
glioblastoma multiforme,glioblastoma multiforme
bulboesponjosa,Bulbospongiosus
estenosis de la aorta,La estenosis aórtica
ligamento alar,Ligamento alar
yodado,yodado
confidencialidad,confidencialidad
proeritroblasto,proeritroblasto
tejido elástico,El tejido elástico
mesón,mesón
cloaca,alcantarillado
salido,prominent
atrófico,atrophic
anteroexterno,anteroexternal
silueta cardíaca,Sombra del corazón
braguero,Truss
momificación,momificación
cuerda,cordón
sida,SIDA
histocompatibilidad,histocompatibilidad
subglotis,subglotis
cetoacidosis diabética,La cetoacidosis diabética
inhibir,a abstenerse de
grafoelemento,Elemento gráfico
aorta ascendente,Aorta ascendente
gragea,Píldora recubierta de azúcar
empastarse,para llenar
isointensa,isointensa
negativo,negativo
disráfica,dysraphic
músculo gastrocnemio,gastrocnemio
agresión,Ataque
lipocromo,lipocromo
rigidez de nuca,Rigidez nucal
erisipela,Erisipela
imagen corporal,Mapa del cuerpo
braquialgia,braquialgia
ferroterapia,Terapia de hierro
activar,Haga clic para activar
interferometría,Interferometría
ectima contagioso,Boca de scabby
cara,cara
ecuación de Henderson-Hasselbalch,Ecuación de Henderson-Hasselbalch
atraumática,no traumáticas
sonambulismo,Sonambulismo
angiografía por tomografía computarizada,Tomografía computarizada angiografía
seno dérmico,seno dérmico
rosario escorbútico,Rosario del escorbuto
mometasona,mometasona
-oma,- Mama.
característica,Característica
operar,para calcular
ligamento transverso de la rodilla,Ligamento transverso de la rodilla
estadística,estadísticas
cifótico,cifótico
templado,tibia
subictérico,subicteric
insulina de acción intermedia,Insulina intermedia
nervio genitofemoral,Nervio genitofemoral
variabilidad,Variabilidad
retroflexión,retroflexión
cefalostato,cefalostat
polineuropatía amiloidótica familiar,Polineuropatía amiloide familiar
cristaloideo,cristaloides
contaminarse,a contaminar
menstruar,Cómo menstruar
mentoniano,mental
citocromo,citocromo
herbaria,Herbario
callo,callo
abasia,abasia
embolización,embolización
calorífico,heat-producing
citoprotector,citoprotector
anemia de Diamond-Blackfan,Anemia hipoplásica congénita
desplazarse,Cómo moverse
enjuagarse,Para enjuagar
cariotipo,Cariotipo
desembocadura,embouchement
famciclovir,famciclovir
somatosensorial,somatosensorial
hiperclorémico,hiperclorémica
astenópico,asthenopic
homóloga,homóloga
trasplante de páncreas,Injerto de páncreas
glaucomatosa,glaucomatous
asociación,Combinación
osteoporótica,osteoporótico
peridérmica,peridérmico
cuerpo del radio,Eje de radio
teórico,Theoretician
condición,Estado
inferencia,inferencia
ecografía Doppler,Ultrasonido de Doppler
marcar,to mark
baja,corto
hueso isquion,isquiotibial
síndrome de Pallister-Killian,tetrasomía 12p
balneario,spa
atrofodermia neurítica,La piel brillante
hemolinfática,hemolinfáticos
angiopatía diabética,La angiopatía diabética
troncal,troncal
ola,Wave
desdoblamiento,division
laminado,laminación
displasia ectodérmica anhidrótica,Displasia ectodérmica anhidrótica
experta,Experto
hemicigota,hemicigoto
condimento,aromatizante
crema protectora,Crema protectora solar
infeccioso,infecciosas
-´geno,-génico
hemófila,hemofílico
herniorrafia,Herniorrhaphy
ácido docosahexaenoico,Ácido docosahexaenoico
melicérico,color de miel
melanosis coli,Melanoma de colon
oclusal,oclusal
virus de la gripe B,Influenzavirus B
distrofia muscular facioescapulohumeral,Distrofia muscular facioscapulohumeral
ureteritis,ureteritis
proplásica,proplastic
refleja,Reflejo
esfacelación,sphacelation
supracondíleo,supracondylar
prueba de χ%r2%r con corrección de Yates,Prueba de chi-cuadrado con corrección de Yates
foliculitis decalvante,Foliculitis decalvans
vena nutricia,Vena de nutriente
clitoridectomía,Clitoridectomía
desleírse,Para disolver
impermeabilidad,impermeabilidad
flebítico,flebético
homosexual,Persona homosexual
artrósica,osteoartritis
neuropsicológico,neuropsicológicos
corrección,corrección
cisteína-proteasa,cisteína proteasa
celularidad,cellularity
betabloqueante,beta antagonista
cinta sin fin,Cinta de correr
resfriado,Abajo con un resfriado
recesivo,recesivo
isquemia subendocárdica,Isquemia subendocardial
íleo,íleo
electroósmosis,Electroósmosis
desorientación espacial,Desorientación en el lugar
cupruria,Cobre en la orina (nivel)
fibroóptica,fibra óptica
conducto alveolar,El conducto alveolar
párpado,párpado
coliforme,coliformes
posteromedia,posteromedian
bariátrico,bariátrica
enferma,ill
evacuar,To evacuate
músculo flexor largo del pulgar,Músculo flexor largo del pulgar
vía aérea,vía aérea
parasuicidio,daños autoinfligidos
enterolito,enterolito
cervicalgia,cervicalgia
capacidad de difusión,Capacidad de difusión
artritis gotosa,La artritis gotosa
condiloma,Condyloma
anticuerpo antimembrana basal glomerular,Anticuerpo anti-membrana basal glomerular
cistocele vaginal,Tratamiento del cistocele vaginal
receptor quimérico de antígenos,Quimeric immunoreceptor
perforación de la membrana timpánica,Ruptura del tímpano (membrana)
protozoosis,Protozoosis
músculo aductor del dedo gordo,Músculo adductor del dedo gordo
presintomática,Presintomáticos
garrapata,tick
paludismo cuartano,malaria cuaternaria
fuente de energía,Fuente de energía
anastomosis arteriolovenular,Anastomosis arteriolovenular
fiebre tropical,Enfermedad de fiebre tropical
analizar,Para analizar
androgénesis,androgénesis
diagnóstico,Diagnóstico
cápsula de gelatina blanda,Cápsula de gel suave
paratiroidectomizado,Persona con paratiroidectomía
testículo,testículo
hiperrefléxico,hiperreflejos
departamento,Departamento
feculenta,almidón
reflejo de succión,Reflejo de succión
reacción,reacción
antipsicótico clásico,antipsicótico convencional
pétrea,Piedras
etionamida,etionamida
gemelo,Músculo gemelo
pinza vascular,Abrazadera vascular de acero inoxidable
derivación ventriculoperitoneal,Shunt ventriculoperitoneal
representación,representation
abortivo,abortivas
palúdico,Persona con malaria
vaginal,vaginal
aneurisma cardíaco,Aneurisma del corazón
catalasa,catalasa
hemocorial,hemocorial
protuberancia,protuberancia
papilotomía,papilotomía
poliploidia,poliploidía
agitar,Para enfadarse
oxidasa,oxidasa
cólica,cólico
presión arterial,Presión arterial (arterial)
senescente,envejecimiento
virus ADN,Virus de ADN
músculo flexor corto de los dedos,Músculo flexor corto de los dedos
anaerobiótica,anaeróbico
glaucoma de ángulo cerrado,Glaucoma de ángulo cerrado
acantocitosis,acantocitosis
cama,cama
antisecretor,antisecretory
pericardiocentesis,pericardiocentesis
vacuna pentavalente,Vacuna pentavalente
celulósico,Celulosa
alélico,Alelic
óptica,óptica
aneurisma aórtico abdominal,Aneurisma de aorta abdominal
hipoxemia,hipoxemia
parética,paréctica
variado,manifold
ovicida,ovicida
leche,leche
haluro,halogenuro
isomerización,isomerización
reabsorción,reabsorción
alimentarse,Cómo alimentar
crítica,crítico
liofilizado,liofilizados
medida,medida
escama occipital,Escama occipital
neuropsiquiátrico,neuropsiquiátricos
enzima convertidora,convertase
polimérica,polimérica
-patía,-pathy
glutamina,glutamina
base pirimidínica,base de pirimidina
ordenada,ordenadas
estrés oxidativo,El estrés oxidativo
hipocalciúrico,hipocalcúrico
instrumentación,Instrumentación
cardiopatía estructural,Enfermedad cardíaca estructural
vial,Carretera
isomérico,isomeric
catapléjica,catapléjico
foveolar,foveolar
silicótico,silicótico
tartamudo,tartamudea
baño de asiento,Baño de asiento
hidrocistoma,hidrocistoma
bloqueo mental,El bloqueo mental
dermoprotectora,skin-protecting
operación de Halsted,La operación de Halstead
aséptico,aséptico
rayos β,Rayos beta
pico,pico
acroasfixia,Los dedos muertos
espinosa,espinoso
hueso incisivo,Hueso incisivo
célula embrionaria,Célula embrionaria
índice,Índice
convaleciente,convalecientes
-oide,-oid
demencia degenerativa,Demencia degenerativa
sarcóptico,sarcoptic
anatomía aplicada,Anatomía aplicada
terapia anti-VEGF,Tratamiento con anti-VEGF
manteca de cacao,Manteca de cacao
turbinoplastia,Turbinoplastia
tronco esplenomesaraico,Confluencia esplenomesentérica
ecografía transvaginal,Ecografía transvaginal
ligamento coraco-acromial,Ligamento coraco-acromial
dedo supernumerario,Dedo extra / dedo del pie
precancerosa,precancerosas
nanocientífico,nanoscientific
coracoacromial,coracoacromial
desnucamiento,Cuello que se rompe
dosis fraccionada,Dosis dividida
rabia,Disgust
monocromático,monocromático
hiperinmune,hiperinmune
siderosoma,siderosoma
simpaticotonía,sympathicotonia
protésica,prótesis
glándula salival,La glándula salival
músculo esfínter del conducto colédoco,Esfínter coledoquial
igualatorio,Grupo de seguro médico
peto esternocostal,Placa de pecho
transferencia,Técnicas de transferencia
amínica,aminas
droperidol,droperidol
lumbálgica,Dolor de espalda
lobulillo hepático,Lóbulo hepático
antialérgica,anti-alergic
conducto auditivo externo,Meatus acústico externo
asistir,Asistir a un parto
secuenciación,Secuenciación
expansor tisular,Expansor de tejido
músculo braquiorradial,braquiorradial
acoria,acorea
anaerobio facultativo,anaeróbica facultativa
cigarrillo,Cigarrillo
lateralidad,lateralidad
débil,débil
trivalente,trivalente
adenocarcinoma de desviación mínima,adenoma maligno
amebiasis,amebiasis
asincronía,Dissincronía
superponer,a superponerse
shigelosis,Shigellosis
objetiva,Objetivo
vermis del cerebelo,vermis cerebelli
hiperglicinuria,hiperglicinuria
hipoestésica,Persona con hipesthesia
auxotrófica,auxotrophic
interferencia por ARN,Interferencia de ARN
osteógena,osteogénico
desnitrificar,to denitrify
martillo de reflejos,Martillo de reflejo
variable,variable
reacción anafilactoide,Reacción similar a la anafilaxia
