hpo_id,english,candidate,reference,simple,sacrebleu,`ter`,semsim
HP:0030927,1-minute APGAR score of 0,Puntaje APGAR a 1 minuto de 0,Puntuación APGAR de 0 al minuto,0,15.6,42.9,92.1
HP:0030928,1-minute APGAR score of 1,Puntaje APGAR de 1 minuto,Puntuación APGAR de 1 al minuto,0,35.0,60.0,89.7
HP:0030929,1-minute APGAR score of 2,Puntaje APGAR de 1 minuto de,Puntuación APGAR de 2 al minuto,0,18.0,33.3,82.3
HP:0030930,1-minute APGAR score of 3,Puntaje APGAR de 1 minuto de,Puntuación APGAR de 3 al minuto,0,18.0,33.3,78.3
HP:0030931,1-minute APGAR score of 4,Puntaje APGAR de 4 minutos,Puntuación APGAR de 4 al minuto,0,32.6,40.0,88.9
HP:0030932,1-minute APGAR score of 5,Puntaje APGAR de 5 minutos,Puntuación APGAR de 5 al minuto,0,32.6,40.0,89.0
HP:0030933,1-minute APGAR score of 6,Puntaje APGAR de 1 minuto de 6,Puntuación APGAR de 6 al minuto,0,18.6,42.9,93.3
HP:0030920,5-minute APGAR score of 0,Puntaje APGAR a 5 minutos de 0,Puntuación APGAR de 0 a los 5 minutos,0,17.8,57.1,95.4
HP:0030921,5-minute APGAR score of 1,Puntaje APGAR de 5 minutos de 1,Puntuación APGAR de 1 a los 5 minutos,0,18.8,42.9,93.0
HP:0030922,5-minute APGAR score of 2,Puntaje APGAR a 5 minutos de 2,Puntuación APGAR de 2 a los 5 minutos,0,17.8,57.1,91.5
HP:0030923,5-minute APGAR score of 3,Puntaje APGAR a 5 minutos de 3,Puntuación APGAR de 3 a los 5 minutos,0,17.8,57.1,91.8
HP:0030924,5-minute APGAR score of 4,Puntaje APGAR a 5 minutos de 4,Puntuación APGAR de 4 a los 5 minutos,0,17.8,57.1,92.2
HP:0030925,5-minute APGAR score of 5,Puntaje APGAR de 5 minutos,Puntuación APGAR de 5 a los 5 minutos,0,26.0,20.0,91.1
HP:0030926,5-minute APGAR score of 6,Puntaje APGAR a 5 minutos de 6,Puntuación APGAR de 6 a los 5 minutos,0,17.8,57.1,92.1
HP:0033468,10-minute APGAR score of 0,Puntaje APGAR a 10 minutos de 0,APGAR 0 a los 10 minutos,0,16.5,42.9,77.9
HP:0033469,10-minute APGAR score of 1,Puntaje APGAR de 10 minutos de 1,APGAR 1 a los 10 minutos,0,15.6,28.6,77.6
HP:0033470,10-minute APGAR score of 2,puntaje APGAR de 10 minutos de 2,APGAR 2 a los 10 minutos,0,15.6,28.6,79.6
HP:0033471,10-minute APGAR score of 3,puntaje APGAR de 10 minutos de 3,APGAR 3 a los 10 minutos,0,15.6,28.6,77.8
HP:0033472,10-minute APGAR score of 4,puntaje APGAR de 10 minutos de 4,APGAR 4 a los 10 minutos,0,15.6,28.6,80.0
HP:0033473,10-minute APGAR score of 5,puntaje APGAR de 10 minutos de 5,APGAR 5 a los 10 minutos,0,15.6,28.6,78.7
HP:0033474,10-minute APGAR score of 6,Puntaje APGAR de 10 minutos de 6,APGAR 6 a los 10 minutos,0,15.6,28.6,79.4
HP:0033336,Zygotic cleavage failure,Insuficiencia del escote cigomático,Fallo de la división cigótica,0,0.0,-25.0,60.7
HP:0033712,Repeated implantation failure,Fallo repetido en la implantación,Fallo de implantación reiterado,0,12.7,20.0,88.8
HP:4000008,Formation of multiple pronuclei during fertilization,Formación de múltiples pronucleos durante la fecundación,Formación de múltiples pronúcleos durante la fecundación,0,41.1,85.7,95.8
HP:0001789,Hydrops fetalis,Hidropesía fetal,Hidropesía fetal,1,100.0,100.0,100.0
HP:0010948,Abnormal fetal cardiovascular morphology,morfología cardiovascular fetal anormal,Anomalía del sistema cardiovascular fetal,0,24.9,0.0,93.4
HP:0011425,Fetal ultrasound soft marker,Ultrasonido fetal marcador blando,Marcador menor en la ecografía fetal,0,11.5,-50.0,85.6
HP:0025662,Abnormal fetal skeletal morphology,morfología esquelética fetal anormal,Morfología esquelética fetal anormal,0,100.0,100.0,100.0
HP:0025667,Fetal neck anomaly,Anomalía del cuello fetal,Anomalía del cuello fetal,1,100.0,100.0,100.0
HP:0025723,Abnormal fetal skin morphology,morfología anormal de la piel fetal,Morfología anormal de la piel fetal,0,100.0,100.0,100.0
HP:0034206,Abnormal fetal central nervous system morphology,anomalía morfológica del sistema nervioso central fetal,Morfología anormal del sistema nervioso central fetal,0,61.5,71.4,99.1
HP:0034207,Abnormal fetal gastrointestinal system morphology,anomalía morfológica del sistema gastrointestinal fetal,Morfología anormal del sistema gastrointestinal fetal,0,50.8,66.7,99.0
HP:0034242,Abnormal fetal genitourinary system morphology,anomalía morfológica del sistema genitourinario fetal,Morfología anormal del sistema genitourinario fetal,0,50.8,66.7,99.1
HP:0034243,Abnormal fetal pulmonary morphology,morfología pulmonar fetal anormal,Morfología pulmonar fetal anormal,0,100.0,100.0,100.0
HP:0034245,Fetal head anomaly,Anomalía de la cabeza fetal,Anomalía de la cabeza fetal,1,100.0,100.0,100.0
HP:0034248,Increased fetal lens echogenicity,Aumento de la ecogenicidad del cristalino fetal,Aumento de la ecogenicidad del cristalino fetal,1,100.0,100.0,100.0
HP:0001557,Prenatal movement abnormality,Anomalía del movimiento prenatal,Movimientos prenatales anormales,0,0.0,0.0,96.6
HP:0025116,Fetal distress,Distrés fetal,Sufrimiento fetal,0,50.0,50.0,80.8
HP:0025675,Premature closure of the ductus arteriosus,Cierre prematuro del ductus arterioso,Cierre prematuro del conducto arterioso,0,42.7,80.0,93.3
HP:0025716,Fetal anemia,Anemia fetal,Anemia fetal,1,100.0,100.0,100.0
HP:0030753,Intrauterine fetal demise of one twin after midgestation,Muerte fetal intrauterina de un gemelo después de la midgestación,Muerte fetal intrauterina de un gemelo después de la gestación,0,88.0,90.0,97.9
HP:0031110,Twin-to-twin transfusion,transfusión gemelo-gemelo,Transfusión de gemelo a gemelo,0,16.4,-100.0,86.8
HP:0034190,Abnormal fetal cardiovascular physiology,alteración de la fisiología cardiovascular fetal,Fisiología cardiovascular fetal anormal,0,30.2,33.3,95.5
HP:0001195,Single umbilical artery,Arteria umbilical única,Arteria umbilical única,1,100.0,100.0,100.0
HP:0032513,Four-vessel umbilical cord,Cuerda umbilical de cuatro vasos,Cordón umbilical de cuatro vasos,0,66.9,80.0,91.9
HP:0030658,Marginal umbilical cord insertion,Inserción marginal del cordón umbilical,Inserción marginal del cordón umbilical,1,100.0,100.0,100.0
HP:0030659,Velamentous cord insertion,Inserción de cordón velocible,Inserción filamentosa del cordón umbilical,0,14.8,25.0,72.1
HP:0030660,Furcate cord insertion,Inserción de cordón en el peludo,Inserción bifurcada del cordón umbilical,0,9.7,16.7,77.9
HP:0033991,Vasa previa,Vasa previa,Vasa previa,1,100.0,100.0,100.0
HP:0010949,Abnormality of umbilical vein blood flow,anomalía del flujo sanguíneo de la vena umbilical,Anomalía del flujo sanguíneo de la vena umbilical,0,100.0,100.0,100.0
HP:0025715,Abnormal umbilical artery doppler waveform during pregnancy,Arteria umbilical anormal forma de onda Doppler durante el embarazo,Forma de onda doppler anormal de la arteria umbilical durante el embarazo,0,35.6,60.0,99.5
HP:0025689,Extra-abdominal umbilical vein varix,Váric umbilical extra-abdominal,Várice de vena umbilical extraabdominal,0,10.7,-33.3,95.4
HP:0025690,Fetal intra-abdominal umbilical vein varix,Váric de la vena umbilical intraabdominal fetal,Várice de la vena umbilical intraabdominal fetal,0,80.9,85.7,99.5
HP:0410211,Abnormal blood gas level in cord blood,gasometría arterial anormal en la sangre del cordón umbilical,Nivel anormal de gas en sangre del cordón umbilical,0,33.0,44.4,92.2
HP:0010483,Amniotic constriction rings of arms,Anillos de constricción amniótica de brazos,Bandas amnióticas en los brazos,0,8.1,16.7,84.7
HP:0010491,Digital constriction ring,anillo de constricción digital,Anillo de constricción en dígitos fetales,0,36.1,25.0,56.6
HP:0010495,Amniotic constriction rings of legs,Anillos de constricción amniótica de piernas,Bandas amnióticas en las piernas,0,8.1,16.7,89.0
HP:0006266,Small placenta,Placenta pequeña,Placenta pequeña,1,100.0,100.0,100.0
HP:0006267,Large placenta,Placenta grande,Placenta grande,1,100.0,100.0,100.0
HP:0032548,Increased placental thickness,aumento del grosor placentario,Aumento del grosor de la placenta,0,36.1,25.0,95.2
HP:0025653,Placenta percreta,Placenta percreta,Placenta percreta,1,100.0,100.0,100.0
HP:0025654,Placenta accreta,Placenta acreta,Placenta acreta,1,100.0,100.0,100.0
HP:0025655,Placenta increta,Placenta increta,Placenta increta,1,100.0,100.0,100.0
HP:0033043,Edematous chorionic villi,Vellosidades coriónicas edematosas,Edema de vellosidades coriónicas,0,39.4,0.0,92.6
HP:0001790,Nonimmune hydrops fetalis,Hidropesía fetal no inmunológica,Hidropesía fetal no inmunitaria,0,59.5,75.0,96.6
HP:0010942,Echogenic intracardiac focus,Enfoque intracardíaco ecogénico,Foco ecogénico intracardiaco fetal,0,19.7,-33.3,72.0
HP:0025671,Fetal pericardial effusion,Derrame pericárdico fetal,Derrame pericárdico fetal,1,100.0,100.0,100.0
HP:0025730,Foramen ovale aneurysm,aneurisma del foramen oval,Aneurisma del foramen oval,0,100.0,100.0,100.0
HP:0034196,Ductus venosus agenesis,Agenesia del ductus venoso,Agenesia del conducto venoso,0,35.4,75.0,80.9
HP:4000105,Abnormal four chamber view of the fetal heart,visión anormal de cuatro cámaras del corazón fetal,Imagen anormal de las cuatro cámaras del corazón fetal,0,52.5,75.0,95.3
HP:4000143,Abnormal fetal heart outflow tract,tracto de salida fetal anómalo,Tracto de salida del corazón fetal anormal,0,28.6,40.0,76.2
HP:0000474,Thickened nuchal skin fold,Pliegue engrosado de la piel nucal,Engrosamiento de los pliegues cutáneos de la nuca,0,11.6,-16.7,84.4
HP:0010943,Echogenic fetal bowel,Intestino fetal ecogénico,Intestino fetal ecogénico,1,100.0,100.0,100.0
HP:0010945,Fetal pyelectasis,Pielectasia fetal,Pielectasia fetal,1,100.0,100.0,100.0
HP:0010952,Mild fetal ventriculomegaly,Ventriculomegalia fetal leve,Ventrículomegalia fetal leve,0,55.0,66.7,99.4
HP:0010963,Absence of stomach bubble on fetal sonography,Ausencia de burbujas en el estómago en la ecografía fetal,Ausencia de estómago en ecografía fetal,0,14.5,60.0,86.8
HP:0011426,Fetal choroid plexus cysts,Quistes del plexo coroideo fetal,Quistes fetales del plexo coroideo,0,42.7,60.0,97.4
HP:0011427,Enlarged fetal cisterna magna,Cisterna fetal magna ampliada,Cisterna magna fetal aumentada,0,21.0,50.0,97.5
HP:0011428,Short fetal femur length,longitud del fémur fetal corto,Longitud del fémur fetal disminuída,0,66.9,80.0,94.6
HP:0011429,Short fetal humerus length,longitud del húmero fetal corto,Longitud del húmero fetal disminuída,0,66.9,80.0,92.8
HP:0011430,Hypoplasia of fetal nasal bone,Hipoplasia del hueso nasal fetal,Hipoplasia fetal del hueso nasal,0,45.2,80.0,99.3
HP:0011431,Fetal fifth finger clinodactyly,Clinodactilia fetal del quinto dedo de la mano,Clinodactilia fetal del 5º dedo,0,22.1,50.0,96.5
HP:0025663,Reduced fetal femur/foot length ratio,relación fémur/pie fetal reducida,Reducción de la relación entre la longitud del pie y el fémur fetal,0,3.6,-83.3,72.2
HP:0025705,Abnormal fetal nasal bone visualization,visualización anómala del hueso nasal fetal,Visualización anormal del hueso nasal fetal,0,53.7,83.3,97.1
HP:0032269,Lemon sign,signo de lima,Signo del limón,0,27.5,33.3,72.1
HP:0034072,Abnormal fetal long-bone echogenicity,ecogenicidad anormal del hueso largo fetal,Anomalía ecográfica de los huesos largos fetales,0,0.0,-16.7,92.6
HP:0034226,Champagne cork sign,signo de tapón de Champagne,Signo de corcho de champán en la ecografía fetal,0,10.6,-20.0,65.6
HP:4000142,Fetal trigonocephaly,Trigonocefalia fetal,Trigonocefalia fetal,1,100.0,100.0,100.0
HP:0010878,Fetal cystic hygroma,Higroma fetal quístico,Higroma quístico fetal,0,39.7,66.7,99.6
HP:0010880,Increased nuchal translucency,aumento de la translucidez nucal,Aumento de la translucencia nucal fetal,0,35.0,60.0,75.8
HP:0025701,Distended jugular lymphatic sacs,sacos linfáticos yugulares distendidos,Sacos linfáticos yugulares agrandados,0,59.5,75.0,94.7
HP:0034240,Fetal neck mass,Masa en el cuello fetal,Masa cervical fetal,0,12.7,40.0,85.7
HP:0034250,Fetal nuchal edema,Edema nucal fetal,Edema nucal fetal,1,100.0,100.0,100.0
HP:0007549,Desquamation of skin soon after birth,Descamación de la piel poco después del nacimiento,Descamación de la piel inmediatamente después del nacimiento,0,50.0,87.5,99.3
HP:0025672,Fetal skin edema,Edema fetal cutáneo,Edema cutáneo fetal,0,39.7,66.7,99.5
HP:0025724,Caseous vernix-like desquamation,Descamación caseosa tipo vernix,Descamación caseosa tipo vérnix,0,59.5,75.0,94.6
HP:0034262,Absent lanugo,Ausencia de lanugo,Ausencia de lanugo,1,100.0,100.0,100.0
HP:0034208,Fetal intracranial hemorrhage,Hemorragia intracraneal fetal,Hemorragia intracraneal fetal,1,100.0,100.0,100.0
HP:4000138,Absent cavum septum pellucidum,Ausencia de cavum septum pellucidum,Ausencia de cavum septum pellucidum,1,100.0,100.0,100.0
HP:0001791,Fetal ascites,Ascitis fetal,Ascitis fetal,1,100.0,100.0,100.0
HP:0025656,Prenatal double bubble sign,signo de burbuja doble prenatal,Signo de doble burbuja prenatal,0,26.9,80.0,99.7
HP:0025674,Meconium pseudocyst,Pseudoquiste de meconio,Pseudoquiste de meconio,1,100.0,100.0,100.0
HP:0034244,Gastric pseudomass,Pseudomasa gástrica,Pseudomasa gástrica,1,100.0,100.0,100.0
HP:0034547,Intraluminal meconium calcification,Calcificación intraluminal del meconio,Calcificación de meconio intraluminal,0,21.0,50.0,98.2
HP:4000139,Fetal abdominal cyst,Quiste abdominal fetal,Quiste abdominal fetal,1,100.0,100.0,100.0
HP:4000140,Fetal bowel dilatation,Dilatación intestinal fetal,Dilatación del intestino fetal,0,24.8,33.3,98.3
HP:0031170,Female fetal virilization,virilización fetal femenina,Virilización fetal femenina,0,100.0,100.0,100.0
HP:0034217,Sonographic non-visualized fetal bladder,Vejiga fetal no visibilizado ecográfica,Ausencia de visualización ecográfica de la vejiga fetal,0,13.0,-20.0,93.5
HP:0034247,Fetal lower urinary tract obstruction,Obstrucción del tracto urinario inferior fetal,Obstrucción del tracto urinario inferior fetal,1,100.0,100.0,100.0
HP:0010959,Congenital pulmonary airway malformation,Malformación congénita de las vías aéreas pulmonares,Malformación adenomatoidea quística congénita del pulmón,0,7.8,14.3,90.2
HP:0025676,Fetal pleural effusion,derrame pleural fetal,Derrame pleural fetal,0,100.0,100.0,100.0
HP:0034246,Fetal scalp mass,Masa en el cuero cabelludo fetal,Masa en el cuero cabelludo fetal,1,100.0,100.0,100.0
HP:0001558,Decreased fetal movement,Disminución del movimiento fetal,Disminución de los movimientos fetales,0,12.4,0.0,99.3
HP:0010519,Increased fetal movement,aumento del movimiento fetal,Aumento de los movimientos fetales,0,12.4,0.0,99.1
HP:0010947,Abnormality of ductus venosus blood flow,anomalía del flujo sanguíneo del conducto venoso,Anomalía del flujo sanguíneo del ductus venoso,0,64.3,85.7,92.2
HP:0011726,Persistent fetal circulation,Circulación fetal persistente,Circulación fetal persistente,1,100.0,100.0,100.0
HP:0012021,Persistent patent ductus venosus,Ductus venoso persistente,Ductus venoso patente persistente,0,45.1,66.7,88.9
HP:0012022,Congenital portosystemic venous shunt,Derivación venosa portosistémica congénita,Cortocircuito (shunt) venoso portosistémico congénito,0,0.0,-25.0,90.9
HP:0034191,Elevated fetal middle cerebral artery peak systolic velocity,Aumento de la velocidad pico sistólica de la arteria cerebral media fetal,Elevación de la velocidad sistólica máxima de la arteria cerebral media fetal,0,54.5,75.0,98.9
HP:0041095,Decreased middle cerebral artery pulsatility index,Disminución del índice de pulsatilidad de la arteria cerebral media,Disminución del índice de pulsatilidad de la arteria cerebral media,1,100.0,100.0,100.0
HP:0034223,Elevated umbilical artery pulsatility,Pulsatilidad elevada de la arteria umbilical,Pulsatilidad elevada de la arteria umbilical,1,100.0,100.0,100.0
HP:0034224,Absent end-diastolic umbilical artery flow,Ausencia de flujo de la arteria umbilical telediastólica,Ausencia de flujo de la arteria umbilical al final de la diástole,0,51.0,37.5,83.0
HP:0034225,Reversed end-diastolic umbilical artery flow,flujo umbilical telediastólico reversa,Flujo reverso de la arteria umbilical al final de la diástole,0,3.3,-125.0,70.6
HP:0500258,Abnormal carbon dioxide level in cord blood,nivel anormal de dióxido de carbono en sangre del cordón umbilical,Nivel anormal de dióxido de carbono en la sangre del cordón umbilical,0,74.3,90.9,99.8
HP:0500259,Abnormal oxygen level in cord blood,nivel de oxígeno anormal en la sangre del cordón umbilical,Nivel anormal de oxígeno en la sangre del cordón umbilical,0,61.5,90.0,99.9
HP:0011414,Hydropic placenta,Placenta hidrópica,Placenta hidrópica,1,100.0,100.0,100.0
HP:0011129,Bilateral fetal pyelectasis,Pielectasia fetal bilateral,Pielectasia fetal bilateral,1,100.0,100.0,100.0
HP:0025706,Absent fetal nasal bone,Ausencia del hueso nasal fetal,Hueso nasal fetal ausente,0,39.8,40.0,97.4
HP:0025707,Hypoplastic nasal bone,Hipoplasia del hueso nasal,Hueso nasal hipoplásico,0,31.9,25.0,91.3
HP:0034073,Reduced fetal long bone echogenicity,Disminución de la ecogenicidad del hueso largo fetal,Disminución de la ecogenicidad de los huesos largos fetales,0,30.5,37.5,99.0
HP:0034074,Increased fetal long bone echogenicity,Aumento de la ecogenicidad del hueso largo fetal,Aumento de la ecogenicidad de los huesos largos fetales,0,30.5,37.5,98.9
HP:0034210,Fetal intraventricular hemorrhage,Hemorragia intraventricular fetal,Hemorragia intraventricular fetal,1,100.0,100.0,100.0
HP:0034211,Fetal cerebral parenchymal hemorrhage,Hemorragia parenquimatosa cerebral fetal,Hemorragia del parénquima cerebral fetal,0,27.5,50.0,99.7
HP:0034212,Fetal extra-axial hemorrhage,Hemorragia extra-axial fetal,Hemorragia extraaxial fetal,0,12.7,66.7,99.6
HP:0034213,Fetal posterior fossa hemorrhage,Hemorragia de la fosa posterior fetal,Hemorragia de fosa posterior fetal,0,38.0,83.3,99.6
HP:0025725,Type 1 congenital pulmonary airway malformation,Malformación congénita de las vías aéreas pulmonares tipo 1,Malformación congénita de las vías respiratorias pulmonares tipo 1,0,59.7,88.9,97.9
HP:0025726,Type 2 congenital pulmonary airway malformation,Malformación congénita de las vías aéreas pulmonares tipo 2,Malformación congénita de las vías respiratorias pulmonares tipo 2,0,59.7,88.9,98.1
