hpo_id,english,candidate,reference,simple,sacrebleu,`ter`,semsim
HP:0000777,Abnormal thymus morphology,morfología anormal del timo,Anomalía del timo,0,31.9,50.0,79.8
HP:0000819,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,1,100.0,100.0,100.0
HP:0000820,Abnormality of the thyroid gland,anomalía de la glándula tiroides,Alteración de la glándula tiroides,0,66.9,80.0,94.8
HP:0000828,Abnormality of the parathyroid gland,anomalía de la glándula paratiroides,Alteración de la glándula paratiroides,0,66.9,80.0,94.6
HP:0000834,Abnormality of the adrenal glands,anomalía suprarrenal,Alteración de las glándulas suprarrenales,0,0.0,-150.0,75.8
HP:0000847,Abnormality of renin-angiotensin system,anomalía del sistema renina-angiotensina,Alteración del sistema renina-angiotensina,0,76.0,75.0,95.1
HP:0000864,Abnormality of the hypothalamus-pituitary axis,anomalía del eje hipotálamo-hipófisis,Alteración del eje hipotálamo-hipofisario,0,50.8,50.0,91.1
HP:0000873,Diabetes insipidus,Diabetes insípida,Diabetes insípida,1,100.0,100.0,100.0
HP:0003117,Abnormal circulating hormone concentration,concentración anormal de hormonas circulantes,Alteración del nivel plasmático de hormonas circulantes,0,26.7,20.0,90.4
HP:0008373,Puberty and gonadal disorders,Trastornos de la pubertad y de los gonadales,Trastornos puberales y gonadales,0,7.3,37.5,98.8
HP:0012029,Abnormal urine hormone level,alteración del nivel hormonal en la orina,Alteración del nivel de hormonas en la orina,0,35.6,71.4,97.4
HP:0012093,Abnormality of endocrine pancreas physiology,alteración de la fisiología del páncreas endocrino,Anomalía de la función del páncreas endocrino,0,30.7,71.4,93.4
HP:0012680,Abnormality of the pineal gland,anomalía de la glándula pineal,Alteración de la glándula pineal,0,66.9,80.0,94.0
HP:0031071,Abnormal endocrine morphology,morfología endocrina anormal,Morfología endocrina anormal,0,100.0,100.0,100.0
HP:0031072,Abnormal endocrine physiology,alteración de la fisiología endocrina,Función endocrina anormal,0,10.7,0.0,90.9
HP:0100568,Neoplasm of the endocrine system,Neoplasia del sistema endocrino,Neoplasia del sistema endocrino,1,100.0,100.0,100.0
HP:0001194,Abnormalities of placenta or umbilical cord,anomalías de la placenta o del cordón umbilical,Anomalías de placenta y cordón umbilical,0,16.5,62.5,98.9
HP:0001560,Abnormality of the amniotic fluid,alteración del líquido amniótico,Anomalía del líquido amniótico,0,59.5,75.0,92.2
HP:0001622,Premature birth,Nacimiento prematuro,Parto prematuro,0,50.0,50.0,94.6
HP:0001787,Abnormal delivery,parto anormal,Parto anormal,0,100.0,100.0,100.0
HP:0030917,Low APGAR score,baja puntuación en el gen APGAR,Score de Apgar bajo,0,8.1,0.0,46.1
HP:0031169,Postterm pregnancy,Embarazos postérmino,Embarazo postérmino,0,50.0,50.0,99.4
HP:0032479,Preimplantation lethality,Letalidad del preimplante,Letalidad previa a la implantación,0,14.1,-33.3,81.5
HP:0033334,Abnormal embryonic development,desarrollo embrionario anormal,Desarrollo embrionario anormal,0,100.0,100.0,100.0
HP:0034057,Fetal anomaly,Anomalía fetal,Anomalía fetal,1,100.0,100.0,100.0
HP:0000002,Abnormality of body height,anomalía de la estatura corporal,Anomalía de la estatura,0,66.9,80.0,95.7
HP:0001510,Growth delay,Retraso del crecimiento,Retraso en el crecimiento,0,24.8,33.3,99.6
HP:0004323,Abnormality of body weight,alteración del peso corporal,Anomalía del peso corporal,0,59.5,75.0,87.1
HP:0025521,Increased body fat percentage,Aumento del porcentaje de grasa corporal,Aumento del porcentaje de grasa corporal,1,100.0,100.0,100.0
HP:0030853,Heterotaxy,Heterotaxia,Heterotaxia,1,100.0,100.0,100.0
HP:0033794,Acral overgrowth,Sobrecrecimiento acral,Sobrecrecimiento acral,1,100.0,100.0,100.0
HP:0033795,Growth without growth hormone,Crecimiento sin hormona del crecimiento,Crecimiento sin hormona de crecimiento,0,42.7,80.0,99.9
HP:0041079,Decreased body fat percentage,Disminución del porcentaje de grasa corporal,Disminución del porcentaje de grasa corporal,1,100.0,100.0,100.0
HP:0100555,Asymmetric growth,crecimiento asimétrico,Crecimiento asimétrico,0,100.0,100.0,100.0
HP:0000951,Abnormality of the skin,alteración de la piel,Anomalía de la piel,0,59.5,75.0,89.4
HP:0011138,Abnormal skin adnexa morphology,anomalía morfológica de los anexos cutáneos,Anomalía de anexos de la piel,0,10.7,33.3,56.3
HP:0025276,Abnormality of skin adnexa physiology,alteración de la fisiología de los anexos cutáneos,Anomalía de la función de los anexos de la piel,0,20.1,37.5,60.9
HP:3000013,Abnormal platysma muscle morphology,platisma anómalo morfología del músculo,Anomalía del músculo cutáneo del cuello,0,17.5,0.0,63.1
HP:0001609,Hoarse voice,Voz ronca,Voz ronca,1,100.0,100.0,100.0
HP:0001611,Hypernasal speech,habla hipernasal,Voz nasal,0,0.0,0.0,64.4
HP:0001618,Dysphonia,Disfonía,Disfonía,1,100.0,100.0,100.0
HP:0001621,Weak voice,Voz débil,Voz débil,1,100.0,100.0,100.0
HP:0001686,Loss of voice,pérdida de la voz,Pérdida de la voz,0,100.0,100.0,100.0
HP:0009088,Speech articulation difficulties,Dificultades en la articulación del habla,Dificultades de articulación del habla,0,32.5,66.7,99.7
HP:0025429,Abnormal cry,llanto anormal,Llanto anormal,0,100.0,100.0,100.0
HP:0031801,Vocal cord dysfunction,Disfunción de la médula vocal,Disfunción de las cuerdas vocales,0,21.4,40.0,88.5
HP:0100271,Hyponasal speech,habla hiponasal,Voz hiponasal,0,50.0,50.0,93.2
HP:0002597,Abnormality of the vasculature,anomalía de la vascularidad,Anomalía de la vasculatura,0,59.5,75.0,91.4
HP:0011025,Abnormal cardiovascular system physiology,alteración de la fisiología del sistema cardiovascular,Anomalía de la función del sistema cardiovascular,0,30.7,71.4,90.3
HP:0030680,Abnormal cardiovascular system morphology,morfología anormal del sistema cardiovascular,Anomalía de la morfología del sistema cardiovascular,0,28.6,20.0,98.4
HP:0500015,Abnormal cardiac test,prueba cardíaca anormal,Prueba cardíaca anormal,0,100.0,100.0,100.0
HP:0001872,Abnormality of thrombocytes,anomalía de los trombocitos,Alteración de las plaquetas,0,16.0,25.0,63.3
HP:0001877,Abnormal erythrocyte morphology,morfología eritrocítica anormal,Alteración de los eritrocitos,0,0.0,-33.3,84.0
HP:0001881,Abnormal leukocyte morphology,anomalía morfológica de los leucocitos,Alteración de los leucocitos,0,39.8,60.0,85.8
HP:0001892,Abnormal bleeding,hemorragia anormal,Sangrado anormal,0,50.0,50.0,90.1
HP:0001928,Abnormality of coagulation,trastorno de la coagulación,Alteración de la coagulación,0,59.5,75.0,92.5
HP:0001977,Abnormal thrombosis,trombosis anormal,Trombosis anormal,0,100.0,100.0,100.0
HP:0001978,Extramedullary hematopoiesis,Hematopoyesis extramedular,Hematopoyesis extramedular,1,100.0,100.0,100.0
HP:0004377,Hematological neoplasm,Neoplasia hematológica,Neoplasia hematológica,1,100.0,100.0,100.0
HP:0005561,Abnormal bone marrow cell morphology,alteración morfológica de las células de la médula ósea,Alteración de la morfología celular de la médula ósea,0,33.0,55.6,98.9
HP:0020047,Abnormal myeloid cell morphology,morfología anormal de las células mieloides,Morfología anormal de células mieloides,0,38.0,83.3,99.8
HP:0020054,Abnormal erythrocyte physiology,alteración de la fisiología eritrocitaria,Función anormal de los eritrocitos.,0,8.7,0.0,87.5
HP:0033796,Abnormal leukocyte physiology,alteración de la fisiología de los leucocitos,Fisiología leucocitaria anormal,0,6.6,14.3,81.6
HP:0001946,Ketosis,cetosis,Cetosis,0,100.0,100.0,100.0
HP:0003110,Abnormality of urine homeostasis,trastorno de la homeostasis de la orina,Anomalía de la homeostasis de la orina,0,80.9,85.7,96.4
HP:0010932,Abnormal circulating nucleobase concentration,concentración anormal de nucleobase circulante,Anomalía del metabolismo de base nitrogenada,0,8.7,0.0,66.4
HP:0011017,Abnormal cellular physiology,alteración de la fisiología celular,Anomalía de la función celular,0,23.6,60.0,75.2
HP:0011034,Amyloidosis,Amiloidosis,Amiloidosis,1,100.0,100.0,100.0
HP:0012337,Abnormal homeostasis,homeostasis anormal,Homeostasis anormal,0,100.0,100.0,100.0
HP:0020169,Abnormal drug response,respuesta anormal a los medicamentos,Respuesta anormal a fármaco,0,39.8,60.0,98.4
HP:0025021,Abnormal erythrocyte sedimentation rate,VSG anormal,Tasa de sedimentación eritrocitaria anormal,0,11.2,-100.0,35.6
HP:0025454,Abnormal CSF metabolite concentration,concentración anormal de metabolitos del LCR,Nivel anormal de metabolitos en el LCR,0,27.5,50.0,98.2
HP:0025456,Abnormal CSF protein concentration,concentración anormal de proteínas en el LCR,Nivel anormal de proteínas en el LCR,0,80.9,85.7,98.5
HP:0031685,Abnormal stool composition,composición anómala de las heces,Composición anormal de heces,0,14.1,60.0,87.6
HP:0031838,Presence of xenobiotic,Presencia de xenobiótico,Presencia de xenobióticos,0,55.0,66.7,97.5
HP:0032180,Abnormal circulating metabolite concentration,concentración anormal de metabolitos circulantes,Concentración anormal de metabolito circulante,0,39.8,60.0,99.3
HP:0032243,Abnormal tissue metabolite concentration,concentración anormal de metabolitos tisulares,Concentración anormal de metabolito tisular,0,39.8,60.0,96.0
HP:0032245,Abnormal metabolism,metabolismo anómalo,Metabolismo anormal,0,50.0,50.0,85.0
HP:0033012,Abnormal salivary metabolite concentration,concentración anormal de metabolitos salivales,Concentración anormal de metabolitos en saliva,0,54.8,60.0,86.3
HP:0033331,Acute phase response,Respuesta de fase aguda,Respuesta de fase aguda,1,100.0,100.0,100.0
HP:0034684,Abnormal enzyme concentration or activity,concentración o actividad anormal enzimática,Concentración o actividad anormal de enzimas.,0,44.8,60.0,97.0
HP:0002795,Abnormal respiratory system physiology,alteración de la fisiología del sistema respiratorio,Alteración respiratoria funcional,0,6.6,14.3,92.8
HP:0100606,Neoplasm of the respiratory system,Neoplasia del sistema respiratorio,Neoplasia del aparato respiratorio,0,35.4,75.0,97.6
HP:0011792,Neoplasm by histology,Neoplasia histológica,Neoplasia clasificada según tipo histología,0,11.2,-100.0,93.9
HP:0011793,Neoplasm by anatomical site,Neoplasia por sitio anatómico,Neoplasia clasificada según localización anatómica,0,12.4,0.0,86.8
HP:0010978,Abnormality of immune system physiology,alteración de la fisiología del sistema inmunológico,Alteración de la función del sistema inmune,0,30.7,71.4,94.9
HP:0032251,Abnormal immune system morphology,morfología anormal del sistema inmunológico,Forma anormal del sistema inmune,0,39.8,60.0,94.6
HP:0100763,Abnormality of the lymphatic system,anomalía del sistema linfático,Anomalía del sistema linfático,0,100.0,100.0,100.0
HP:0001438,Abnormal abdomen morphology,anomalía morfológica del abdomen,Anomalía del abdomen,0,35.4,75.0,95.3
HP:0002012,Abnormality of the abdominal organs,anomalía de los órganos abdominales,Anomalía de los órganos abdominales,0,100.0,100.0,100.0
HP:0004298,Abnormality of the abdominal wall,anomalía de la pared abdominal,Anomalía de la pared abdominal,0,100.0,100.0,100.0
HP:0004378,Abnormality of the anus,anomalía del ano,Anomalía del ano,0,100.0,100.0,100.0
HP:0011024,Abnormality of the gastrointestinal tract,anomalía del tracto gastrointestinal,Anomalía del tracto gastrointestinal,0,100.0,100.0,100.0
HP:0025032,Abnormality of digestive system physiology,alteración de la fisiología del sistema digestivo,Anomalía de la función del sistema digestivo,0,30.7,71.4,91.6
HP:0025033,Abnormal digestive system morphology,anomalía morfológica del sistema digestivo,Morfología anormal del sistema digestivo,0,39.8,60.0,98.4
HP:0034930,Digestive system neoplasm,Neoplasia del sistema digestivo,Neoplasia del sistema digestivo,1,100.0,100.0,100.0
HP:0001699,Sudden death,muerte súbita,Muerte súbita,0,100.0,100.0,100.0
HP:0003546,Exercise intolerance,Intolerancia al ejercicio,Intolerancia al ejercicio,1,100.0,100.0,100.0
HP:0012378,Fatigue,fatiga,Fatiga,0,100.0,100.0,100.0
HP:0012531,Pain,dolor,Dolor,0,100.0,100.0,100.0
HP:0025095,Sneeze,estornudo,Estornudar,0,0.0,0.0,97.5
HP:0025143,Chills,escalofríos,Resfriado,0,0.0,0.0,85.3
HP:0025144,Shivering,estremecimiento,Temblores,0,0.0,0.0,59.7
HP:0025406,Asthenia,Astenia,Astenia,1,100.0,100.0,100.0
HP:0030166,Night sweats,sudores nocturnos,Sudores nocturnos,0,100.0,100.0,100.0
HP:0031058,Impairment of activities of daily living,afectación de las actividades de la vida diaria,Deterioro de las actividades de la vida diaria,0,84.1,87.5,82.5
HP:0031217,Hot flashes,bochornos,Sofocos,0,0.0,0.0,91.3
HP:0031352,Chest tightness,opresión torácica,Opresión en el pecho,0,18.4,-50.0,85.7
HP:0033047,Body ache,Dolor en el cuerpo,Dolor corporal,0,16.0,25.0,97.7
HP:0033665,Diminished health-related quality of life,deterioro de la calidad de vida relacionada con la salud,Disminución de la calidad de vida relacionada con la salud,0,88.0,90.0,98.6
HP:0033675,Frailty,fragilidad,Fragilidad,0,100.0,100.0,100.0
HP:0033695,Occupational disability,Discapacidad laboral,Incapacidad laboral,0,50.0,50.0,94.0
HP:0033834,Malaise,malabio,Malestar general,0,0.0,-100.0,53.8
HP:0033850,Coldness,frialdad,Apatía,0,0.0,0.0,36.4
HP:0100247,Recurrent singultus,singultus recurrente,Hipo recurrente,0,50.0,50.0,64.5
HP:0100758,Gangrene,Gangrena,Gangrena,1,100.0,100.0,100.0
HP:0100812,Halitosis,Halitosis,Halitosis,1,100.0,100.0,100.0
HP:0500001,Body odor,olor corporal,Olor corporal,0,100.0,100.0,100.0
HP:0025461,Abnormal cell morphology,morfología celular anormal,Morfología celular anormal,0,100.0,100.0,100.0
HP:0031550,Abnormal flow cytometry test result,resultado anormal de la prueba de citometría de flujo,Prueba de citometría de flujo anormal,0,46.7,55.6,96.4
HP:0000924,Abnormality of the skeletal system,anomalía del sistema esquelético,Anomalía del sistema esquelético,0,100.0,100.0,100.0
HP:0003011,Abnormality of the musculature,anomalía de la musculatura,Anomalía de la musculatura,0,100.0,100.0,100.0
HP:0003549,Abnormality of connective tissue,anomalía del tejido conectivo,Anomalía del tejido conjuntivo,0,59.5,75.0,84.6
HP:0011843,Abnormal musculoskeletal physiology,alteración de la fisiología musculoesquelética,Anomalía de la función ósea,0,21.4,40.0,46.3
HP:0001218,Autoamputation,autoamputación,Autoamputación,0,100.0,100.0,100.0
HP:0001528,Hemihypertrophy,Hemihipertrofia,Hemihipertrofia,1,100.0,100.0,100.0
HP:0002814,Abnormality of the lower limb,anomalía del miembro inferior,Anomalía de la extremidad inferior,0,14.8,25.0,94.2
HP:0002817,Abnormality of the upper limb,anomalía del miembro superior,Anomalía de la extremidad superior,0,14.8,25.0,93.0
HP:0007289,Limb fasciculations,fasciculaciones de las extremidades,Fasciculaciones en las extremidades,0,35.4,75.0,99.4
HP:0009127,Abnormality of the musculature of the limbs,anomalía de la musculatura de las extremidades,Anomalía de la musculatura de las extremidades,0,100.0,100.0,100.0
HP:0009815,Aplasia/hypoplasia of the extremities,Aplasia/hipoplasia de las extremidades,Aplasia / hipoplasia de las extremidades,0,100.0,100.0,95.0
HP:0033766,Polymelia,Polimelia,Polimelia,1,100.0,100.0,100.0
HP:0040068,Abnormality of limb bone,anomalía ósea en las extremidades,Anomalía de huesos de las extremidades,0,19.4,40.0,90.0
HP:0041117,Fractured lower limb segment,Fractura del segmento de las extremidades inferiores,Fractura de segmento de miembro inferior,0,14.5,42.9,93.0
HP:0041118,Fractured upper limb segment,Fractura del segmento de las extremidades superiores,Fractura de segmento de miembro superior,0,14.5,42.9,92.6
HP:0045026,Abnormal mediastinum morphology,alteración morfológica del mediastino,Anomalía del mediastino,0,31.9,50.0,55.3
HP:0003828,Variable expressivity,expresividad variable,Expresividad variable,0,100.0,100.0,100.0
HP:0012825,Mild,leve,Leve,0,100.0,100.0,100.0
HP:0012826,Moderate,moderada,Moderado,0,0.0,0.0,93.5
HP:0012827,Borderline,limítrofe,Límite,0,0.0,0.0,40.3
HP:0012828,Severe,grave,Grave,0,100.0,100.0,100.0
HP:0012829,Profound,profundo,Profundo,0,100.0,100.0,100.0
HP:0012831,Laterality,lateralidad,Lateralidad,0,100.0,100.0,100.0
HP:0012836,Spatial pattern,patrón espacial,Patrón espacial,0,100.0,100.0,100.0
HP:0025206,Triggered by cold,Disparada por el frío,Causado por el frío,0,59.5,75.0,85.9
HP:0025207,Triggered by dehydration,desencadenado por deshidratación,Desencadenado por la deshidratación,0,45.1,66.7,99.9
HP:0025212,Triggered by fasting,Disparado por el ayuno,Desencadenado por el ayuno,0,59.5,75.0,64.1
HP:0025214,Triggered by heat,activada por el calor,Desencadenado por el calor,0,59.5,75.0,93.7
HP:0025215,Triggered by febrile illness,desencadenado por enfermedad febril,Desencadenado por una enfermedad febril,0,35.2,75.0,99.6
HP:0025218,Triggered by hyperventilation,Disparado por hiperventilación,Desencadenado por la hiperventilación,0,24.8,33.3,89.3
HP:0025219,Triggered by vaccination,desencadenado por vacunación,Desencadenado por la vacunación,0,45.1,66.7,99.8
